Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	9	12.5	4.7984512802332725E-4	NFKBIA, GADD45B, MAX, ZBTB16, HMOX1, BDKRB1, CALM3, FOS, BCL2L1	33	533	8840	4.523281596452327	0.07347447729633605	0.04667867146989601	0.04579794181952061
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	6	8.333333333333332	5.871531002502642E-4	CEBPB, GADD45B, MAX, ZBTB16, AFF1, BCL2L1	33	193	8840	8.327837965143665	0.08915702416954507	0.04667867146989601	0.04579794181952061
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	5	6.944444444444445	0.0015764662286271785	CDH5, DUSP1, HMOX1, CALM3, FOS	33	141	8840	9.49924779712014	0.2218655192331721	0.08355271011724046	0.08197624388861328
KEGG_PATHWAY	hsa05222:Small cell lung cancer	4	5.555555555555555	0.0044833332293053	NFKBIA, GADD45B, MAX, BCL2L1	33	93	8840	11.521668295861843	0.510540103452139	0.15133019718627505	0.14847491044691136
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	4	5.555555555555555	0.0047588112322728	NFKBIA, CEBPB, FOS, MAPK4	33	95	8840	11.279106858054227	0.5316114524834891	0.15133019718627505	0.14847491044691136
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	5	6.944444444444445	0.008529582755761038	NFKBIA, GRIN3B, VIPR2, CALM3, FOS	33	226	8840	5.926521855725396	0.743857330071203	0.2260339430276675	0.221769151649787
KEGG_PATHWAY	hsa04210:Apoptosis	4	5.555555555555555	0.012754647089172384	NFKBIA, GADD45B, FOS, BCL2L1	33	136	8840	7.878787878787879	0.8701055476192437	0.28971269816834416	0.2842464208444131
KEGG_PATHWAY	hsa05031:Amphetamine addiction	3	4.166666666666666	0.02561570990143228	GRIN3B, CALM3, FOS	33	69	8840	11.646903820816865	0.9838521967914736	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	3	4.166666666666666	0.03138313375055592	NFKBIA, GADD45B, BCL2L1	33	77	8840	10.436835891381346	0.9937169242373436	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05167:Kaposi sarcoma-associated herpesvirus infection	4	5.555555555555555	0.03322567540553845	NFKBIA, ZFP36, CALM3, FOS	33	196	8840	5.46691403834261	0.9953581386003657	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	4	5.555555555555555	0.0363131711453232	NFKBIA, CLDN5, OCLN, FOS	33	203	8840	5.278399761158382	0.9972086659803541	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05170:Human immunodeficiency virus 1 infection	4	5.555555555555555	0.04097443303675133	NFKBIA, CALM3, FOS, BCL2L1	33	213	8840	5.030587565798833	0.998708782315467	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	5	6.944444444444445	0.04236893441474505	GRIN3B, VIPR2, PENK, BDKRB1, ADM	33	368	8840	3.6396574440052705	0.9989754858555446	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	4	5.555555555555555	0.04242985417191353	NFKBIA, CALM3, FOS, BCL2L1	33	216	8840	4.9607182940516275	0.9989857966995512	0.4818819152381608	0.4727898036298936
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	4	5.555555555555555	0.04592730031378849	NFKBIA, ZFP36, FOS, BCL2L1	33	223	8840	4.805000679440141	0.9994331690490503	0.486829383326158	0.4776439232634003
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	3	4.166666666666666	0.05502689523791445	NFKBIA, GADD45B, BCL2L1	33	105	8840	7.653679653679654	0.9998764928095788	0.5468297714267749	0.5365122285696658
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	3	4.166666666666666	0.06560427152127826	CLDN5, CDH5, OCLN	33	116	8840	6.927899686520377	0.9999793745105173	0.6059685983911991	0.594535228610233
KEGG_PATHWAY	hsa04668:TNF signaling pathway	3	4.166666666666666	0.06860021868579612	NFKBIA, CEBPB, FOS	33	119	8840	6.753246753246753	0.9999876221581695	0.6059685983911991	0.594535228610233
KEGG_PATHWAY	hsa05162:Measles	3	4.166666666666666	0.08966920708724314	NFKBIA, FOS, BCL2L1	33	139	8840	5.7815565729234795	0.9999996744047058	0.7413001475517845	0.7273133523149584
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	4	5.555555555555555	0.09324530157884083	GADD45B, DUSP1, MAX, FOS	33	300	8840	3.571717171717172	0.9999998258672256	0.7413001475517845	0.7273133523149584
