Sample_name	Run	Condition	Sex
HFS151-resub	Stage1	Hypothalamus	Male
HFS152-resub	Stage1	Hypothalamus	Male
HFS153	Stage1	Hypothalamus	Female
HFS154-resub	Stage1	Hypothalamus	Female
HFS155	Stage1	Hypothalamus	Female
HFS195	Stage2	Hypothalamus	Female
HFS196	Stage2	Hypothalamus	Female
HFS197	Stage2	Hypothalamus	Male
HFS198	Stage2	Hypothalamus	Male
HFS263-resub	Stage3	Hypothalamus	Female
HFS264-resub	Stage3	Hypothalamus	Male
HFS265	Stage3	Hypothalamus	Male
HFS266-resub	Stage3	Hypothalamus	Male
HFS267	Stage3	Hypothalamus	Male
HFS308	Stage4	Hypothalamus	Male
HFS309	Stage4	Hypothalamus	Male
HFS310	Stage4	Hypothalamus	Male
HFS311	Stage4	Hypothalamus	Male
HFS312	Stage4	Hypothalamus	Male
HFS353	Stage5	Hypothalamus	Male
HFS354	Stage5	Hypothalamus	Male
HFS355	Stage5	Hypothalamus	Male
HFS356	Stage5	Hypothalamus	Male
HFS357	Stage5	Hypothalamus	Male
