sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000005	12.353622	10.618717	12.746011	9.91746	13.0436	13.54154
ENSBTAG00000000008	0	0.0941878	0.0820065	0	0.0384691	0
ENSBTAG00000000009	0.691202	0.440112	1.2515	0.458595	0.997078	0.959956
ENSBTAG00000000010	38.74581	37.76694	38.33821	38.842502	45.78303	43.21888
ENSBTAG00000000011	4.02523	4.00623	4.9291557	3.96668	4.26858	5.2864
ENSBTAG00000000012	13.1705	12.9743	10.7298	9.49195	10.8104	12.1093
ENSBTAG00000000013	11.73396	13.07758	14.05652	10.8881	12.54333	11.28858
ENSBTAG00000000014	77.0902	94.5997	72.5208	75.7706	81.1414	67.9016
ENSBTAG00000000015	2.36536	2.08413	1.51693	1.7625	2.7037	1.26468
ENSBTAG00000000016	0.357035	0.32591	0.28386	0.224676	0.188091	0.329319
ENSBTAG00000000019	501.781931	439.77719	414.878332	360.95856	421.08794	374.01888
ENSBTAG00000000020	4.01321	2.37195	6.11672	5.231	3.36159	4.99242
ENSBTAG00000000021	11.7819	11.7582	8.85919	7.74917	9.94695	11.0894
ENSBTAG00000000022	8.034452	6.028861	6.95128	5.42646	7.05101	10.0257
ENSBTAG00000000023	13.3597	15.1137	9.7787	8.58789	12.0712	12.6393
ENSBTAG00000000024	21.99306	23.87135	19.38448	18.20273	20.57686	23.76084
ENSBTAG00000000025	143.9292	209.3752	155.7739	90.8925	137.2054	95.4777
ENSBTAG00000000026	17.6353	15.1042	18.0659	16.8869	19.5285	15.4601
ENSBTAG00000000027	0	0	0	0	0.158633	0
ENSBTAG00000000029	2.2234415	2.54678	1.017051	1.428005	1.779508	0.957549
ENSBTAG00000000030	2.67166	4.77655	3.55236	2.37083	2.9582	2.757
ENSBTAG00000000031	0.443954	0.649397	1.108946	1.016291	1.245844	0.26074
ENSBTAG00000000032	8.52697	8.5589	8.53104	17.8492	10.4436	10.8905
ENSBTAG00000000033	1.61447	5.06854	3.14193	16.1751	1.69909	16.9422
ENSBTAG00000000037	10.6033	10.1571	8.3016	8.01463	9.13916	10.8204
ENSBTAG00000000039	8.441429	7.522872	11.93515	13.01879	10.7282	10.322561
ENSBTAG00000000040	8.698	10.3135	7.36826	8.72515	9.00889	7.21635
ENSBTAG00000000042	8.735578	9.256007	7.608089	8.271362	10.805709	8.199757
ENSBTAG00000000044	1.54446	1.73706	2.17783	1.68857	1.869	0.944425
ENSBTAG00000000046	9.301378	12.341401	10.031366	10.340916	12.701177	8.735027
ENSBTAG00000000049	4.524392	2.790579	3.624338	2.927208	3.292711	3.92844
ENSBTAG00000000050	47.5926	48.6862	37.6643	42.1436	39.6756	44.0362
ENSBTAG00000000052	3.76219	3.1476	4.60919	4.0246	5.2422	6.28279
ENSBTAG00000000053	0.7653957	0.7078092	0.76067	0.60436	0.6572601	0.584413
ENSBTAG00000000054	3.89757	2.91411	4.52846	4.9334	4.52632	2.89096
ENSBTAG00000000056	20.763261901	20.158875	30.56246	26.07513	27.797199	28.24068
ENSBTAG00000000057	3.05724	2.52381	2.660746	2.76257	3.69808	5.00207
ENSBTAG00000000060	0	0	0	0	0	0
ENSBTAG00000000061	7.97428	5.324066	8.63835	6.00636	8.40293	4.519449
ENSBTAG00000000062	1.55543	2.37128	1.79912	2.0461	2.07278	1.82767
ENSBTAG00000000064	9.7804	9.34647	9.6894	9.1334	10.3798	7.71281
ENSBTAG00000000065	13.9352	9.97447	11.9612	10.168	13.4274	13.2981
ENSBTAG00000000066	0	0	0.025088	0	0	0
ENSBTAG00000000067	12.324759	8.88339	5.95592	9.80409	7.790502	9.00156
ENSBTAG00000000070	0.0708285	0.1425451	0.2790406	0.1605572	0.1291023	0.03236192
