sample_SRR3879744	sample_SRR3879745	sample_SRR3879746
ENSCHIG00000000006	1264.99	1340.15	1845.05
ENSCHIG00000000010	1050.55	975.823	1305.48
ENSCHIG00000000016	9034.43	10465.3	13137.4
ENSCHIG00000000019	12567.7	11848.9	14755.6
ENSCHIG00000000021	3792.22	6304.3	6235.6
ENSCHIG00000000022	646.299	837.442	1118.37
ENSCHIG00000000023	11430.3	11689.5	14955.1
ENSCHIG00000000025	15878.9	10923.7	16807.7
ENSCHIG00000000027	3167.55	2607.43	3132.92
ENSCHIG00000000028	865.529	939.165	1137.75
ENSCHIG00000000032	723.848	696.279	880.555
ENSCHIG00000000033	831.351	729.79	1033.58
ENSCHIG00000000035	2098.8	2328.79	2744.47
ENSCHIG00000000038	6.38756	10.5164	17.6041
ENSCHIG00000000039	0.0385052	1.99776	0
ENSCHIG00000000040	0	0	0
ENSCHIG00000000041	0.363045	0.194707	0.454289
ENSCHIG00000000042	0	0	0
ENSCHIG00000000043	5.44647	7.28843	6.72512
ENSCHIG00000000044	0	0	0
ENSCHIG00000000045	0	0.0404517	0
ENSCHIG00000000046	0.468652	0.968111	1.07508
ENSCHIG00000000047	0.1702643	0.1570530968	2.798464
ENSCHIG00000000048	0	0	0
ENSCHIG00000000049	0	0	0
ENSCHIG00000000050	64.1078	52.4833	54.1112
ENSCHIG00000000051	0	0	0
ENSCHIG00000000052	0	0	0
ENSCHIG00000000053	3.04172	3.87362	4.66551
ENSCHIG00000000054	0.0403881	0	0
ENSCHIG00000000055	9.6758	8.92793	10.55136
ENSCHIG00000000056	0	3.36032	0
ENSCHIG00000000057	169.796	163.178	146.554
ENSCHIG00000000058	2.36633932363	5.972549	5.467969
ENSCHIG00000000059	0	0.189555	0
ENSCHIG00000000060	3.1069	4.18909	8.04192
ENSCHIG00000000061	0.689124	0.60936	0.8407
ENSCHIG00000000062	0	0	0.184764
ENSCHIG00000000063	0	0	0.597957
ENSCHIG00000000064	6.97174	7.48253	6.52623
ENSCHIG00000000065	14.768659	13.578143	14.284731
ENSCHIG00000000066	16.9881	20.9935	19.5921
ENSCHIG00000000067	17.5503	20.1481	19.7654
ENSCHIG00000000068	8.050971	9.496881	10.566991
ENSCHIG00000000069	77.4997	72.6037	76.5939
ENSCHIG00000000070	58.4825	54.3503	51.5236
ENSCHIG00000000071	0.64866866	0.92265	1.057595
ENSCHIG00000000072	0.0237395	0	0.163076
ENSCHIG00000000073	5.634205	6.13761	6.6993
ENSCHIG00000000074	9.04336	9.50665	8.00432
ENSCHIG00000000075	7.82155	10.80745	10.903155
ENSCHIG00000000076	18.30132	19.1558	19.81891
ENSCHIG00000000077	49.979959	53.05028	61.128797243
ENSCHIG00000000078	13.4087	11.1152	11.5443
ENSCHIG00000000079	0	0	0
ENSCHIG00000000080	1.37227	41.812183	25.22323
ENSCHIG00000000081	0	0	0
ENSCHIG00000000082	2.906086	4.146715	4.188781
ENSCHIG00000000083	0.601427	2.60692	2.88538
ENSCHIG00000000084	0.228457	0.225495	0.400595
ENSCHIG00000000085	0	0	0
ENSCHIG00000000086	0	0	0
ENSCHIG00000000087	21.94134	30.9381	28.2117
ENSCHIG00000000088	0	0	0
ENSCHIG00000000089	3.22571	2.94281	4.43773
ENSCHIG00000000090	0.824797	1.232625	1.097594
ENSCHIG00000000091	0.11665	0	0
ENSCHIG00000000092	0.0500554	0	0
ENSCHIG00000000093	5.05805	8.04611	7.48879
ENSCHIG00000000094	0	0	0
ENSCHIG00000000095	0.0216822	0.0242063	0.0917624
ENSCHIG00000000096	15.7969	15.7576	13.9715
ENSCHIG00000000097	4.86492	8.4949583	12.0738914
ENSCHIG00000000098	0.747141	0.82994	1.06537
ENSCHIG00000000099	31.647	36.6438	37.0292
ENSCHIG00000000100	38.2827	33.8797	30.9339
ENSCHIG00000000101	17.157402	22.018138	24.429380000147
ENSCHIG00000000102	427.857	463.66	687.574
ENSCHIG00000000103	0.312263	0.166395	0.298929
ENSCHIG00000000104	24.38389	21.1804	19.16959
ENSCHIG00000000105	74.9311	81.6489	73.1422
ENSCHIG00000000106	2.33017	5.05992	5.85568
ENSCHIG00000000107	1.5882913	2.15399400021632	2.379157
ENSCHIG00000000108	20.6376	21.7695	26.0016
ENSCHIG00000000109	72.721967	90.024471	90.968786
ENSCHIG00000000110	8.04729	8.2667	10.71502
ENSCHIG00000000111	32.06	34.7922	30.3924
ENSCHIG00000000112	16.76784	24.54497	23.873698
ENSCHIG00000000113	49.0398	50.2839	45.4582
ENSCHIG00000000114	7.8722	7.63559	9.11097
ENSCHIG00000000115	0.540454	0	0
ENSCHIG00000000116	0	0	0
ENSCHIG00000000117	0	0	0
ENSCHIG00000000118	14.7578	28.830041	20.56605
ENSCHIG00000000119	0.60127	1.25511	1.03148
ENSCHIG00000000120	0	0	0
ENSCHIG00000000121	15.0509	19.4888	15.8618
ENSCHIG00000000122	8.08379	12.9629	8.89163
ENSCHIG00000000123	0.665529	1.28713	1.25082
ENSCHIG00000000124	391.512	476.258	370.201
ENSCHIG00000000125	0.0358551	0	0.0488956
ENSCHIG00000000126	1.30179	0.961002	0.77316
ENSCHIG00000000127	26.4451	36.7199	30.0669
ENSCHIG00000000128	29.516	28.5405	31.3012
