sample_SRR5516115	sample_SRR5516118	sample_SRR5516121	sample_SRR5516123	sample_SRR5516126	sample_SRR5516128	sample_SRR5516131	sample_SRR5516132
ENSCPOG00000000007	11.7774	14.2993	10.2839	10.5612	11.9689	11.9916	12.7201	13.621
ENSCPOG00000000011	0	0	0	0	0.0794835	0	0	0
ENSCPOG00000000012	0	0	0	0	0	0	0	0
ENSCPOG00000000013	8.37108	2.29698	2.22544	1.6019	1.07867	3.4059	5.00237	2.36858
ENSCPOG00000000014	0	0	0.110748	0	0	0	0	0
ENSCPOG00000000015	36.6119	37.2929	41.0202	39.3147	38.234	35.325	40.5464	39.3236
ENSCPOG00000000016	0.541103	0.714404	0.663313	0.674065	0.876842	1.74028	0.795203	1.86378
ENSCPOG00000000018	0	0.182627	0.0847833	0.0861576	0.0896608	0.266926	0.101641	0.173254
ENSCPOG00000000020	30.745878	29.12748	22.5231	26.8002	24.45865	23.601425	25.578175	30.2027
ENSCPOG00000000022	115.781	91.5444	111.543	106.629	113.234	100.221	112.988	104.654
ENSCPOG00000000023	606.452	529.626	645.949	576.796	621.13	592.043	625.221	565.21
ENSCPOG00000000024	8.97615	10.2424	9.0527	10.2913	8.63066	9.18844	9.37278	8.10507
ENSCPOG00000000027	0	0	0.102647	0.0521554	0.162828	0	0.0615284	0.157319
ENSCPOG00000000029	0.0461084	0.0456568	0.296741	0.430788	0.179322	0.0889755	0.203282	0.216568
ENSCPOG00000000031	43.4886	42.24106	32.5023	38.5341	31.6442	35.7337	43.449	44.9379
ENSCPOG00000000032	34.2799	37.6432	38.7089	42.9086	42.645	48.9765	47.9072	51.9775
ENSCPOG00000000034	3.72501	3.72206	3.64268	2.7842	4.60952	3.82279	4.59092	4.0082
ENSCPOG00000000035	44.5372	42.0022	36.5687	36.8144	36.7389	39.3631	40.7057	41.4764
ENSCPOG00000000036	0.242342	0.239969	0.0862611	0.226419	0.235625	0.545589	0.2671089	0.682959
ENSCPOG00000000038	19.00991	22.34751	17.96445	20.50388	18.58508	23.0909	21.481	23.35673
ENSCPOG00000000039	0.160044	0	0	0.299057	0.311217	0.154419	0	0.300687
ENSCPOG00000000040	6.513	6.37808	6.71447	7.65106	6.14623	8.40957	5.83262	9.46975
ENSCPOG00000000042	0	0.0831419	0	0	0	0	0	0
ENSCPOG00000000044	9.33017	9.83872	8.57808	7.81145	9.48392	7.83311	7.67939	10.3013
ENSCPOG00000000046	3.25269	4.04183	4.45642	4.05196	4.21672	3.93834	4.32322	4.73308
ENSCPOG00000000047	15.6889	17.4183	17.0468	14.4113	16.8976	18.8071	19.3301	21.437
ENSCPOG00000000048	227.77001	203.60902	221.785936	228.42421	258.400886	267.73862	248.89332	251.289897
ENSCPOG00000000051	49.2226	50.277	38.4198	34.7783	42.1762	39.1001	36.5953	44.2312
ENSCPOG00000000052	10.3322	10.7129	7.78619	8.40073	8.89906	7.4318	8.93388	7.39112
ENSCPOG00000000054	0	0	0	0	0	0	0	0
ENSCPOG00000000055	0.120221	0.198407	0.147374	0.52417	0.155852	0.193326	0.397524	0.564672
ENSCPOG00000000057	201.61455	179.395	180.2138	188.5293	163.5843	185.3737	231.8034	209.1837
ENSCPOG00000000058	27.78	23.61693	17.88932	23.59178	24.08433	30.3073	26.4915	33.1048
ENSCPOG00000000059	6.45684	5.01684	5.25449	6.68836	4.65669	5.83978	6.85993	6.91861
ENSCPOG00000000060	0.0256215	0.0253706	0.18845	0.011969	0.0249114	0.0618024	0.15532	0.156446
ENSCPOG00000000061	4.881468	4.30817	5.00132	4.50112	4.099007	5.21169	5.09638	5.04621
ENSCPOG00000000064	8.98708	8.62525	8.43213	9.25776	9.90306	10.361	8.6864	10.8235
ENSCPOG00000000066	7.10802	6.46384	7.86873	4.60802	6.34684	7.69796	7.99433	4.76941
ENSCPOG00000000067	29.9062	27.9387	30.8506	30.6438	31.4138	36.7128	37.5734	40.468
ENSCPOG00000000069	1.18998	0.693134	0.836633	1.76579	0.748646	1.48585	1.85166	1.31512
ENSCPOG00000000070	1.6275	1.69867	1.98159	1.47946	1.83899	2.50398	3.15131	2.80978
ENSCPOG00000000072	256.865	258.262	176.518	191.655	216.244	219.866	215.363	237.93
ENSCPOG00000000073	7.84837	6.34772	6.49965	7.1831	4.77655	5.72273	6.27323	8.16057
ENSCPOG00000000074	0.23624	0.070178	0.217197	0.0882871	0.160785	0.182349	0.31246	0.177537
ENSCPOG00000000075	8.30882	7.30474	4.71194	5.87657	5.58702	5.39447	6.84708	7.65931
ENSCPOG00000000076	44.02414	42.01303	46.0212	56.4288	51.821400656875	70.38541	65.20537	73.4832
ENSCPOG00000000077	16.9203	17.5923	17.5696	16.227	15.1933	15.7974	18.2107	19.1672
