sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000006	0	0	0	0	0.196553	0.198116	0.14201	0.25346
ENSFDAG00000000010	0.148328	0.864509	0.274352	0.378029	0.89963	0.725427	0	0.696058
ENSFDAG00000000016	0.690573	1.14998	0.364946	1.38286	1.67537	0	0.518769	1.54317
ENSFDAG00000000019	0	0	0	0	0	0	0	0
ENSFDAG00000000021	4.75127	4.43075	1.75763	6.05456	3.45806	2.32371	2.49846	13.3778
ENSFDAG00000000022	0.233053	0	0.431063	0.29698	0.5654	0.284948	0	0.364549
ENSFDAG00000000023	7.41456	7.7086	3.3359	10.2145	6.80634	9.31063	3.86383	12.852
ENSFDAG00000000025	0	0	0	0	0	0	0	0
ENSFDAG00000000027	0	0	0	0	0	0	0	0
ENSFDAG00000000028	0	0	0	0	0	0	0	0
ENSFDAG00000000032	0	0	0	0	0	0	0	0
ENSFDAG00000000033	0	0	0	0	0	0	0	0
ENSFDAG00000000035	0.135004	0	0.124854	0	0.163764	0.165066	0	0
ENSFDAG00000000038	124.923	99.8284	128.968	124.478	113.855	125.66441	109.318000955635	124.99
ENSFDAG00000000039	32.6466	30.9753	30.3677	41.6017	35.2268	35.855	31.7727	42.6053
ENSFDAG00000000040	4.62514	5.39141	5.07117	4.92166	4.04877	3.84777	3.92819	6.11602
ENSFDAG00000000041	18.2498	21.6838	14.9783	21.0872	30.9641	34.5825	25.406	18.3582
ENSFDAG00000000042	65.3312359	74.9697522927	74.050077960615	82.597540087	88.0932291607	89.38612751	82.455272172	80.9963210941
ENSFDAG00000000043	2.42018	5.92799	8.72076	3.83907	3.30963	1.52262	5.83768	10.5186
ENSFDAG00000000044	404.74105	345.7349	388.7746	386.9332	389.649	361.1937	445.4019	305.735
ENSFDAG00000000045	21.53084	36.91236	23.65669	29.01867	26.78133	25.72789	24.92529	25.677325
ENSFDAG00000000046	4.7738	3.51892	4.19301	3.55379	4.6478	1.8507	4.98466	4.72588
ENSFDAG00000000047	0	0	0	0	0	0	0	0
ENSFDAG00000000048	55.4133	58.4777	47.7599	50.3811	56.5553	65.4589	54.1866	47.4641
ENSFDAG00000000049	149.6654	108.0491	133.6612	133.6384	144.3398	147.6832	166.7831	117.2863
ENSFDAG00000000051	3.43005	5.14229	2.88065	4.57763	3.84355	4.91583	5.19324	4.75017
ENSFDAG00000000054	11.0715	15.4166	14.4622	14.4378	18.6557	18.2774	14.7625	14.1512
ENSFDAG00000000056	0	0	0	0	0	0	0	0
ENSFDAG00000000057	163.796	200.257	264.564	347.715	320.367	295.281	319.602	311.828
ENSFDAG00000000058	13.1525	7.14887	12.7817	11.7389	11.5171	10.5297	13.4045	11.5076
ENSFDAG00000000063	80.49165	66.90788	69.8557	69.9122	79.2406	88.0192	71.50311	70.98164
ENSFDAG00000000064	293.53	272.77	299.399	296.185	352.098	367.078	275.6	288.057
ENSFDAG00000000068	187.84933	291.90137	264.2384	269.3945	221.78288	260.46972	267.9787	264.554
ENSFDAG00000000069	14.4466	26.5828	13.4117	18.4094	17.3899	17.0545	13.6315	19.481
ENSFDAG00000000070	31.8063	18.6164	23.1634	32.363	32.5709	33.6861	31.7466	36.6088
ENSFDAG00000000074	21.003	5.93512	8.0934	10.1058	12.3915	11.1591	8.12316	10.2451
ENSFDAG00000000075	0	0	0	0	0	0	0	0
ENSFDAG00000000076	0.719069	1.2573	0.22167	0.458157	0.145375	0.586126	1.57551	0.937327
ENSFDAG00000000077	2.75625	3.38979	3.68766	2.91942	3.06797	3.4005	3.69957	3.44087
ENSFDAG00000000079	70.1673	58.3404	55.2444	47.4768	49.8639	51.0956	55.945	48.0799
ENSFDAG00000000084	0	1.09707	0	0.387575	1.35367	0.575358	0	0
ENSFDAG00000000085	0.161679	0	0	0	0.392243	0	0	0
ENSFDAG00000000086	0	0	0	0	0	0	0	0
