sample_SRR5517308	sample_SRR5517314	sample_SRR5517326	sample_SRR5517342	sample_SRR5517351	sample_SRR5517359	sample_SRR5517365	sample_SRR5517370
ENSHGLG00100000006	6249.21	5949.94	4420.88	6184.23	5587.32	3895.38	5601.47	5117.06
ENSHGLG00100000010	26649.4	30052	22826.7	33541.5	29413.1	20690.2	29225	26434.3
ENSHGLG00100000016	39432.8	38798.5	32377	45922.4	36560.7	27505.8	39475.9	36257.6
ENSHGLG00100000019	44247.8	40109.9	36180.1	42178	43699.9	31958.7	41338.2	42173.8
ENSHGLG00100000021	10880.1	12162	8041.89	13039.6	9290.1	7384.81	10917.5	9148.96
ENSHGLG00100000022	23636.4	22177.7	17687.5	24895.6	21529.4	15457.9	21137.8	19477.3
ENSHGLG00100000023	32956.8	30271.5	27481.8	32984.5	31074.7	23176.3	29502.3	28600.7
ENSHGLG00100000025	9246.66	7667.91	6395.06	7222.29	8989.08	6130.65	8023.77	7737.3
ENSHGLG00100000027	5115.19	5706.17	3764.63	6497.45	4520.51	3458.86	5367.2	4509.23
ENSHGLG00100000028	11241.1	11908.1	8988.7	13230.4	10579.3	7643.86	11277.1	10128.2
ENSHGLG00100000032	3928.53	3978.39	2312.47	4143.47	3216.35	2024.93	3550.46	3076.66
ENSHGLG00100000033	8403.65	7767.22	5141.5	7131.08	7283.3	4383.47	6995.4	6357.91
ENSHGLG00100000035	17835.4	16371.9	12996.9	19066.7	14474.1	12858.6	14800.1	14162.4
ENSHGLG00100000038	0	0	0	0	0.108933	0	0	0
ENSHGLG00100000039	3.54684	1.87546	4.54705	1.69076	0	1.95691	1.61556	5.25758
ENSHGLG00100000040	37.1491	43.9445	38.7445	38.9579	43.4921	42.1043	41.8091	41.2191
ENSHGLG00100000041	0	0	0	0	0	0	0	0
ENSHGLG00100000042	1.18236	1.75572	1.25431	2.5834	1.91511	2.10489	2.07535	1.93298
ENSHGLG00100000043	0	0	0	0	0	0	9.8525e-10	0
ENSHGLG00100000044	28.4111	29.5265	27.9405	24.3882	28.8132	37.631	28.2634	26.5055
ENSHGLG00100000045	1941.04	1692.64	1182.37	1023.98	923.889	1566.69	1055.98	1397.57
