sample_SRR8750789	sample_SRR8750790	sample_SRR8750791	sample_SRR8750792
ENSG00000000003	7.66491	9.713894039052	45.435993	15.685841
ENSG00000000005	0.2666163	0.0762432	0.5397522	0.229366
ENSG00000000419	29.0135604	29.720142	37.184903	30.223643
ENSG00000000457	3.1009398	2.618751	4.660220921	4.034818
ENSG00000000460	1.4508111	1.4400516	3.0972557	2.79374471
ENSG00000000938	2.970873	3.38966	8.130053	10.406289
ENSG00000000971	4.633111	2.83525	53.728742	24.285392
ENSG00000001036	20.11431	15.711001	31.31791	26.329368
ENSG00000001084	19.0777582	11.9885885	32.464872	30.4707
ENSG00000001167	3.7801846	3.7175848	8.79528	5.17304
ENSG00000001460	10.9031871	11.9161787	22.9519936	13.122986
ENSG00000001461	73.522367	29.8459709	34.6863658	70.2633426
ENSG00000001497	37.5966902665655	24.2072961102	22.873933858382	30.6315861996927
ENSG00000001561	14.0414	9.98271	15.3133	17.1011
ENSG00000001617	5.31836550019717	2.8146484	6.3370237	6.081647
ENSG00000001626	13.0599123	7.1430688	15.639186	28.5473227
ENSG00000001629	15.405682	15.557559	29.2265975	22.379107
ENSG00000001630	41.295999	28.466596	44.01491	34.915595
ENSG00000001631	14.5359949	15.1488886	22.0786620055061	13.9230137
ENSG00000002016	8.4506611	9.9221835	29.0697507	9.47737681
ENSG00000002079	0.0303284	0.1093281	0.5419404	0.520954
ENSG00000002330	178.347952	105.7815682	147.144743	116.080089
ENSG00000002549	44.2457244	18.907779	45.513154	46.0039546
ENSG00000002586	261.6661272	119.461616	655.5694637	510.687971
ENSG00000002587	2.316765	3.53465	12.52235	4.30555
ENSG00000002726	0.0370798	0.33104112	0.8963783	1.0277114
ENSG00000002745	0.137054	0.281746	0.269911	0.181134
ENSG00000002746	4.9226876	5.7594113	2.6286566	6.3780242
ENSG00000002822	47.4041887629	18.2068635	13.326019	29.436501
ENSG00000002834	37.0804211815802	41.231927880066	58.86148	32.52704553374
ENSG00000002919	23.296459	24.2656286	24.179673	28.6094161
ENSG00000002933	44.47578	21.337299	141.103718	60.001264
ENSG00000003056	54.250633	48.0924607	70.518699	45.133706
ENSG00000003096	4.7248341	6.085817	5.705172901	2.792602
ENSG00000003137	1.4545370582231	3.22774832781	3.895017	2.622208
ENSG00000003147	29.3682671	23.3801303	9.1835819	20.140151
ENSG00000003249	47.800368	20.9466150262723	14.784556	31.124365
ENSG00000003393	12.5863579007076	12.9962094001895	17.8807179645613	12.8802042293165
ENSG00000003400	1.5753582	3.392006	7.121764	6.009217
ENSG00000003402	21.8060503	19.3455614	48.179279	38.856983
ENSG00000003436	4.7374519	6.9913246	13.6891086	19.326284
ENSG00000003509	9.823993	11.154596	8.215971	5.484963
ENSG00000003756	68.338849	78.50197977058	102.559914	69.282879
ENSG00000003987	7.4737212	6.6524031	5.242037	8.661727
ENSG00000003989	1.8957708402	0.754836	13.258900966798	9.65464219724
ENSG00000004059	191.783714	140.46758	107.082721	146.667427
ENSG00000004139	6.332652	9.1111992	10.754396	7.183756
ENSG00000004142	46.9103	29.997522	38.88113	41.65801
ENSG00000004399	40.413047	20.892578	58.520133	42.737728
ENSG00000004455	71.80154	35.1114661	89.467358	69.726789
ENSG00000004468	5.463483	3.21463	5.19348	5.862933
ENSG00000004478	74.251163	60.641325	131.6394	43.072277
ENSG00000004487	30.826633	33.196718	36.660987	24.136284
ENSG00000004534	66.1250695	59.4044444	87.973872	56.814045
