sample_SRR6293978	sample_SRR6293979	sample_SRR6293980	sample_SRR6293981	sample_SRR6293982
ENSSTOG00000000001	6.19904	5.58211235727	3.3512	4.80674	5.34780041
ENSSTOG00000000002	25.9012	23.8347	25.6032	24.3681	24.434
ENSSTOG00000000003	35.6809	35.2289	32.5686	35.4167	34.1591
ENSSTOG00000000004	6.385371	4.9970827	4.280311	4.961965	3.4362
ENSSTOG00000000007	33.0431	33.9333	33.6062	34.9578	32.8729
ENSSTOG00000000011	10.70268	9.114099	9.33096	10.824354	11.034233
ENSSTOG00000000012	0	0	0	0.335746	0
ENSSTOG00000000013	26.0621	25.1713	24.713	25.6963	24.2538
ENSSTOG00000000014	330.54	307.153	301.498	305.326	275.167
ENSSTOG00000000015	4.45678	4.457541	5.15004	4.502288228	4.221131
ENSSTOG00000000018	4.83801	4.82602	4.81268	4.82063	4.41832
ENSSTOG00000000020	44.1809	43.1213	49.1269	44.1951	44.6527
ENSSTOG00000000021	21.6672	20.2119	21.8614	21.7955	22.2892
ENSSTOG00000000023	9.86913	11.5392	11.374	10.1012	10.3809
ENSSTOG00000000024	9.73716	12.1929	11.0972	9.95807	13.0616
ENSSTOG00000000025	74.86919	75.72371	79.67189	68.85256	65.67089
ENSSTOG00000000028	12.3141	9.82714	10.4916	11.3801	9.87369
ENSSTOG00000000032	62.5454	54.3178	59.689	53.6591	54.7595
ENSSTOG00000000033	35.93011	33.694331	34.76490131492	38.22479	35.86445
ENSSTOG00000000036	6.89559	8.45547	9.83005	7.78214	7.00215
ENSSTOG00000000037	6.28319	8.55618	7.94222	6.88777	5.26254
ENSSTOG00000000039	30.02794	27.21850242937	26.3734	25.6739	27.6323
ENSSTOG00000000040	5.0641	4.79782	4.80036	5.0816	3.93161
ENSSTOG00000000042	9.05012	8.24354	8.24289	9.96661	8.55148
ENSSTOG00000000043	50.2963	50.7711	52.8308	49.2303	42.5449
ENSSTOG00000000044	233.2693	218.9902	232.4624	227.984	231.7986
ENSSTOG00000000046	3.26826	2.4495	2.21346	2.96376	2.73902
ENSSTOG00000000048	4.72878	3.32373	2.16966	4.17017	3.52392
ENSSTOG00000000050	17.7382	22.9709	20.5427	18.9758	22.1944
ENSSTOG00000000051	0	0	0	0.441604	0
ENSSTOG00000000052	0.568565	0.902144	0.858945	1.0507	0.764395
ENSSTOG00000000053	27.7233	30.8628	37.5193	31.8167	26.0767
ENSSTOG00000000055	17.12462	18.72239	15.00392	17.28778	16.78036
ENSSTOG00000000060	0.554665	1.20658	0.62362	0.642593	0.639868
ENSSTOG00000000064	20.3053	13.3342	20.7194	10.598	15.1213
ENSSTOG00000000066	0	0	0	0	0
ENSSTOG00000000068	19.34033	19.62335	20.714089	21.03119	18.10445
ENSSTOG00000000071	6.7289	4.69833	5.06076	5.69794	5.81476
ENSSTOG00000000072	15.34198	13.65391	13.38859	19.55751	16.72481
ENSSTOG00000000074	0	0	0	0	0
ENSSTOG00000000075	88.5128	94.9598	95.5468	92.6474	87.6032
ENSSTOG00000000078	9.60312	10.4046	11.2155	8.96707	8.42526
ENSSTOG00000000079	21.8513	21.75612	21.66625	21.32443	19.53984
ENSSTOG00000000080	38.8854	42.6591	45.2865	41.3383	39.7669
ENSSTOG00000000081	5.460687	6.23126	4.73568	6.0161	4.64297
ENSSTOG00000000083	0.0584928	0.0964152	0.199441	0.164843	0.102381
ENSSTOG00000000084	7.50143	6.07694	6.38397	6.42292	6.08598
ENSSTOG00000000085	0.110818	0.0909442	0	0.23291	0.289572
ENSSTOG00000000086	17.2729	17.33124	22.10026	18.05255	19.10576
ENSSTOG00000000088	2.69881	3.10069	3.64398	3.0076	3.23165
ENSSTOG00000000089	21.6299	28.8785	29.3715	28.0145	26.7878
