sample_SRR10334377	sample_SRR10334376	sample_SRR10334375	sample_SRR10334373	sample_SRR10334372	sample_SRR10334371	sample_SRR10334370
ENSMMUG00000000001	5.83269	4.41089	8.60504	6.264139	5.972566	3.81761	3.63177000119283
ENSMMUG00000000002	3.8942	2.8592	2.57328	1.44421	2.08982	2.17986	1.30612
ENSMMUG00000000005	4.627286	4.59616	5.089668	3.455216	2.924078	1.59056	3.55141
ENSMMUG00000000006	2.01892	2.612758	2.44097	2.259244	1.216287	2.65986	1.921665
ENSMMUG00000000007	24.39571	17.43794	12.94013	17.87158	22.99021	20.750763	14.05425
ENSMMUG00000000009	1.543417	3.971212	1.859305	2.472969	2.24232	1.054278506	2.529885104357
ENSMMUG00000000010	31.2696	24.5911	31.891	26.832	26.5514	16.4823	24.7558
ENSMMUG00000000013	8.08603	8.51763	14.376963	15.787086	13.90688	8.294919	9.559137
ENSMMUG00000000015	1.0896	1.20563	0	0	0	0	0.586885
ENSMMUG00000000016	17.7722	12.6499	19.7909	16.7456	20.7324	11.7288	14.8136
ENSMMUG00000000017	0	0	0	0	0	0	0
ENSMMUG00000000018	0	0	0	0	0	0	0
ENSMMUG00000000019	7.29065	9.28623	6.86103	6.50038	5.96379	7.09671	5.85805
ENSMMUG00000000021	1.281443372	0.552479	1.36093	1.48056	1.44822	1.07758	1.2836
ENSMMUG00000000022	0.342487	0.23327	0.0823968	0.168728	0	0.0512519	0.344232
ENSMMUG00000000023	0.157151	0	0.251763	0.128632	0.0572586	0.0388727	0
ENSMMUG00000000024	0.043102	0	0	0.0704335	0.0470848	0.0318341	0.043168
ENSMMUG00000000025	4.28188	3.93083	8.349025	5.781481	5.169824	5.307551	3.87336
ENSMMUG00000000029	8.78638	10.0719	9.572122	11.528837	10.4795	7.178652	9.496745
ENSMMUG00000000031	8.515249	4.77411	9.366573	8.250497	10.4334	6.119962	8.02059
ENSMMUG00000000032	13.9363	7.54319	16.6782	12.5473	15.1571	5.56414	10.6614
ENSMMUG00000000033	19.4111	12.2732	17.3502	17.5522	15.192	14.2088	14.067
ENSMMUG00000000037	9.162538	8.23962	11.027949	9.10684	13.43976	7.355059	10.096036
ENSMMUG00000000038	35.3844	22.0016	34.24505	31.4184	30.7964	25.66387	30.35825
ENSMMUG00000000039	35.4816	52.7636	54.1733	46.666	43.6651	54.6995	47.1246
ENSMMUG00000000040	9.57322	17.9729	20.5162	19.9145	16.4085	18.8568	22.8069
ENSMMUG00000000042	6.62608	4.00402	5.154728	5.077511	6.289177	2.248055	3.044122
ENSMMUG00000000043	13.07427	6.974549	14.694592	12.206033	18.47671	8.003216	10.646198
ENSMMUG00000000044	9.07296	7.28286	14.0538	15.8773	9.72745	6.79984	7.21561
ENSMMUG00000000048	0.0575797	0.0716734	0	0.0943565	0.1259208	0.2999018	0.4622676
ENSMMUG00000000049	33.12481	65.41015	53.20196	62.1805	89.18812	61.07928	94.36281
ENSMMUG00000000051	3.28843	2.21103	3.74222	4.08727	4.82196	1.811545	3.00263
ENSMMUG00000000054	62.478	70.2026	63.6405	68.8107	46.7163	59.4217	68.5317
ENSMMUG00000000055	20.3728	22.6945	22.4322	24.0695	18.9628	15.8802	19.3034
ENSMMUG00000000056	12.9034	7.77942	16.70865	14.59595	15.05814	7.58678	10.9682
ENSMMUG00000000058	14.0385	11.5343	15.6655	14.2722	17.1538	8.60093	12.9278
ENSMMUG00000000059	6.21872	4.94071	9.08297	7.21419	8.04251	3.70266	6.79764
ENSMMUG00000000063	42.672758	33.954988336	36.867957904	37.69569	38.264916	30.658036	23.681953
ENSMMUG00000000065	11.68658	14.08715	21.8873	17.67907	13.687392	8.687628	11.77668
ENSMMUG00000000066	2.28196	2.01788	3.56794	1.2875	1.97175	2.52238	2.28769
ENSMMUG00000000067	10.307994	6.769854	6.755002	4.661242	8.394529	3.0355589	3.311506
ENSMMUG00000000070	0.475701	1.54563	1.21956	0.921076	1.1313	1.03511	0.957691
ENSMMUG00000000072	10.2704	7.2818	8.34988	9.19653	9.60826	6.72024	7.21072
ENSMMUG00000000073	0.351622	0.499591	0.369453	1.32896	0.336118	0.454671	0.396227
ENSMMUG00000000074	36.81053	61.42468	51.82128	48.06412	45.50225	34.96404	47.14548
ENSMMUG00000000075	2.329325	2.318034	3.599669	4.886986	4.27299	1.8564681	2.715578
ENSMMUG00000000079	0.594116	1.12713	0.943854	0.964561	0.641701	1.06066	0.6962
ENSMMUG00000000081	8.95264	8.72443	11.1173	11.1893	11.5701	5.2663	6.91507
ENSMMUG00000000082	0	0	0	0	0	0	0
ENSMMUG00000000085	202.8907	517.6641	387.60439062	335.137874	349.36992	457.35846	699.270000184992
ENSMMUG00000000089	0.0534229	0.284396	0.0641942	0.206478	0.448266	0.0793298	0.336722
ENSMMUG00000000090	35.54117	31.330436	38.11329	34.52542	38.43159	27.561762	34.107114
ENSMMUG00000000092	8.51937	8.7304	6.54838	5.78845	11.0868	7.88581	9.66262
ENSMMUG00000000098	2.6808	2.17529	2.30115	3.36014	3.22978	2.15431	1.5916
ENSMMUG00000000100	46.237936	39.54292	43.235365	45.135876	45.701933	30.409353	28.525359
ENSMMUG00000000102	0	0	0.117047	0.240531	0	0.221226	0.0979914
ENSMMUG00000000104	11.0556	9.99739	9.05504	9.8494	9.09417	7.15544	6.24804
ENSMMUG00000000107	4.2068255	4.634292	4.058876	4.7156967	6.945377	2.8239959	4.688382
ENSMMUG00000000108	6.751401	8.463241	6.191973502396	7.5445762	6.44814101801	5.862998386	6.086252
ENSMMUG00000000110	25.00213	20.4743	28.77637	21.531544	21.2788	23.88855	23.038637
ENSMMUG00000000111	38.29074	30.827204	31.997079	26.26011	37.26171	22.404402	20.902671
ENSMMUG00000000113	14.93292	8.2985773	16.01208	9.23131	13.9714	5.57966	8.80309
ENSMMUG00000000115	0	0	0	0	0	0	0
ENSMMUG00000000117	1.8138	3.81211	2.65176	2.91898	2.44548	2.47149	2.7891
ENSMMUG00000000118	3.4155053	2.27891195742	3.48123	3.0236807091	3.7024384	2.27546	2.730038
ENSMMUG00000000121	0.0339094	0.0771971	0	0.0137832	0.03698	0	0
ENSMMUG00000000122	2.63284	6.74199	9.05085	7.00533	7.16234	5.03665	6.98708
ENSMMUG00000000123	8.1358226741	6.86930669709	12.990550324042	10.77697449003	11.759194677806	6.828016	6.71553500066026
ENSMMUG00000000124	4.110363	8.991652	16.632565	10.403534	16.572945	7.389385	8.436918
ENSMMUG00000000125	8.5705	6.04832	7.77234	7.67172	10.24238	6.80729	6.283431
ENSMMUG00000000129	0.813456	0.369116	0.293826	0.803513	0.623583	0.306353	0.491445
ENSMMUG00000000130	7.20828	3.66716	8.806224	6.335665	6.88423	4.483145	5.89847000128016
ENSMMUG00000000134	93.267561	91.167303	113.5684	112.529324	114.775494	77.920432	85.23091
ENSMMUG00000000135	27.24139	12.60596	23.588629	25.17292	26.61099	11.938239	15.53575
ENSMMUG00000000136	3.65058	4.69911	7.045494	13.242376	8.3811	5.374098	4.161681
ENSMMUG00000000137	225.95705	292.2462	205.65287	261.1438	260.29146	247.47197	247.06507
ENSMMUG00000000138	18.3394	12.89561	22.869324	24.88263	24.446016	14.614219	13.417947
ENSMMUG00000000140	35.54431	36.11299	52.50291	41.89124	41.59512	37.21914	39.36027
ENSMMUG00000000141	12.0121	8.27627	13.6947	11.4427	12.9612	6.47177	6.9277
ENSMMUG00000000143	16.19758	19.652418	29.49608	23.546208	19.460115	14.731046	18.470676
ENSMMUG00000000144	5.552855	6.0052	6.623	5.720941	3.806724	3.712031	4.8131
ENSMMUG00000000145	1.93645	2.68235	5.46814	4.52176	4.58316	2.57448	1.86416
ENSMMUG00000000147	0	0	0	0	0	0	0
ENSMMUG00000000148	0	0	0	0	0	0	0
ENSMMUG00000000149	35.649183	45.708183	38.17385	38.575559	38.75116	36.76981	28.128912
ENSMMUG00000000151	0.618106	0.503978	0.871096	0.711084	0.951035	0.4077402	0.386964
