sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000006	16520.3	14325.3	15199.4	15301.2	13437.8	13852.7	12924.5	15711.1
ENSMOCG00000000010	19385.8	13517.5	15898.2	15424.8	14339.5	15299.1	13292.2	16873
ENSMOCG00000000016	32267.4	28832.8	30894.3	30503.5	31495.8	33321.8	26272.5	29327.1
ENSMOCG00000000019	19205.1	14875.8	14942.7	15416.8	16254.2	16915.7	15148.6	17390.3
ENSMOCG00000000021	29986.6	23369.4	25360.6	24860.5	23027	35105.6	18488.8	28016.7
ENSMOCG00000000022	30469.9	26653.5	29081.3	34501.3	28722.2	35080.6	24743.1	33365.3
ENSMOCG00000000023	26787.1	20101.2	21862.9	22595.9	20619	22153.4	18954.5	22147.6
ENSMOCG00000000025	1362.81	355.488	389.532	1046.46	1059.99	1170.88	1175.17	1107.57
ENSMOCG00000000027	3838.84	2873.96	2918.14	2991.81	3370.62	3290.29	3215.35	3716.54
ENSMOCG00000000028	9282.13	7252.67	7477.97	6718.64	5245.85	7824.86	6279.36	8005.38
ENSMOCG00000000032	5387.9	6047.56	5651.29	4960.12	4688.35	5200.77	4154.06	5402.92
ENSMOCG00000000033	5781.82	6017.25	5375.34	5349.88	4409.29	5269.06	4595.75	6405.13
ENSMOCG00000000035	6648.3	4950.02	4840.52	5044.45	4607.41	5776.58	4989.4	5460.29
ENSMOCG00000000038	0	0	0	0	0	0	0	0
ENSMOCG00000000039	559.261	377.946	383.983	472.646	514.069	535.441	547.914	477.869
ENSMOCG00000000040	0	0	0	0	0	0	0	0
ENSMOCG00000000041	0.119537	0	0	0.117559	0	0	0	0
ENSMOCG00000000042	0	0	0	0	0	0	0	0
ENSMOCG00000000043	24.734	30.4237	30.5846	33.202	29.4849	24.7768	29.5225	29.1154
ENSMOCG00000000044	0.710038	1.08661	0.954226	0.571321	0.368842	0	1.02504	0.716737
ENSMOCG00000000045	31.3395	33.8979	12.368	21.4463	21.944	22.9711	32.1256	20.3419
ENSMOCG00000000046	0	0	0	0	0	0	0	0.75526
ENSMOCG00000000047	0	0	0	0	0	0	0	0
