sample_ERR1709728	sample_ERR1709727	sample_ERR1709726	sample_ERR1709725
ENSMUSG00000000001	35.6688	34.3242	33.4602	30.7714
ENSMUSG00000000003	0	0	0	0
ENSMUSG00000000028	5.011808	5.986052	6.010709	7.203106
ENSMUSG00000000037	2.95863441193	2.1484387067	1.684316127941	2.0219091377
ENSMUSG00000000049	0.827281	1.304578	0.606028	1.989736
ENSMUSG00000000056	36.20305	36.42116	38.86007	45.03416
ENSMUSG00000000058	29.76965	30.01296	36.8469	26.54694
ENSMUSG00000000078	29.98957	27.83216	31.577312	32.452421
ENSMUSG00000000085	51.839295	56.8137091	58.79473981	64.3763020864
ENSMUSG00000000088	357.39177	359.38469	360.40313	336.74168
ENSMUSG00000000093	1.15156	1.03939	1.70227	1.47124
ENSMUSG00000000094	0.315639	0.262966	0.410852	0.73658300111703
ENSMUSG00000000103	0	0	0	0
ENSMUSG00000000120	7.47009	8.39849	4.98479	9.91583
ENSMUSG00000000125	3.53709	3.03117	5.98357	3.06211
ENSMUSG00000000126	1.12155	0.729877	1.885120233289	1.43774
ENSMUSG00000000127	41.16226	37.29163	38.73966	39.06636
ENSMUSG00000000131	68.52544619244	65.066602	61.0982520038047	70.607083
ENSMUSG00000000134	10.95658711	10.882057533905	12.4833705091739	14.7884795
ENSMUSG00000000142	34.318088	36.688711	27.276935	34.795628
ENSMUSG00000000148	13.68034	13.728071	12.68304	15.5503509491
ENSMUSG00000000149	69.4677	69.3258	75.7004	58.4736
ENSMUSG00000000154	1.19187	1.108755	0.915138	0.183807
ENSMUSG00000000157	0.7351291	0.0757436	0.0986106	0.169514
ENSMUSG00000000159	0.363174	0.385447	0.72631313	1.931382
ENSMUSG00000000167	10.726234	9.993114	9.325768	12.447108
ENSMUSG00000000168	84.89084	90.864	101.01858	78.267121
ENSMUSG00000000171	119.863	117.165	113.322	111.626
ENSMUSG00000000182	0.964839	0.65771	0.494602	0.572427
ENSMUSG00000000183	0.165073	0.105964	0.175062	0.124617
ENSMUSG00000000184	5.959078	6.282211	10.439726	8.7267
ENSMUSG00000000194	55.211476	46.639791	48.39644	48.08987
ENSMUSG00000000197	95.85869	93.52161	83.54365	97.52331
ENSMUSG00000000202	20.890266	21.2204	19.776569	18.905991
ENSMUSG00000000204	1.727479	1.458657	0.8640812	1.338487
ENSMUSG00000000214	21.844122	20.968136	58.022803	22.917274
ENSMUSG00000000215	0	0.114771	0.0796696	0
ENSMUSG00000000216	0.052015	0.0325027	0.157934	0
ENSMUSG00000000223	16.53314	18.143607	17.108275	18.99189
ENSMUSG00000000244	0.917452	0.8304435	0.646644	1.119402
ENSMUSG00000000247	2.732122	2.744818	3.064864	4.390993
ENSMUSG00000000248	0.397348	0.494116	0.276789	0.324835
ENSMUSG00000000253	49.06767	44.5091	43.91155	41.43759
ENSMUSG00000000263	11.87865	12.40535	17.1444100030898	9.65242
ENSMUSG00000000266	25.23805	24.37571	24.591878	31.538284
ENSMUSG00000000275	4.35232	4.086704	4.3280330201158	4.1448839794
ENSMUSG00000000276	42.18947	40.15501	39.76921	42.97338
ENSMUSG00000000278	15.9612	15.5252	17.9942	18.5308
ENSMUSG00000000282	5.19177	4.79303	6.29156	6.46418
ENSMUSG00000000290	3.4581	3.211867039422	3.209251	2.560028
ENSMUSG00000000295	29.696503	34.95561	25.342999	30.511329
ENSMUSG00000000296	38.36749	38.858932	31.827349	39.73807
ENSMUSG00000000301	7.82337	6.723845	5.829604	6.4694
ENSMUSG00000000303	1.16502	1.26454	2.51232	0.699257
ENSMUSG00000000305	14.75195	15.17308	9.492253	15.40271
ENSMUSG00000000308	249.22424	275.73081	280.849952	234.7880079
ENSMUSG00000000317	1.01298	1.723658	1.575962	1.45954
ENSMUSG00000000318	0.518715	1.555035	0.71805	0.601908
ENSMUSG00000000320	1.774625	1.753961	1.939001	1.98328
ENSMUSG00000000326	59.33934	60.2994	61.7829	59.4015
ENSMUSG00000000339	50.64597	54.56287166145	54.72742997	53.86521
ENSMUSG00000000340	18.97639	20.185336	19.001879	16.6352
ENSMUSG00000000346	52.810844	61.297441	76.24244	62.31845
ENSMUSG00000000355	132.0496	113.05275	117.63462	120.48369
ENSMUSG00000000359	1.474636	0.721211	0.9972	0.448353
ENSMUSG00000000365	2.189871	1.18287900137376	1.44672	2.242678
ENSMUSG00000000374	59.26254	61.878949	59.538591	58.7063
ENSMUSG00000000378	35.578369053518	38.048758685	37.8950299392	34.62750485
ENSMUSG00000000381	0.35562	0.666651	0.154254	0
ENSMUSG00000000384	56.591782	54.858877	48.752002	53.039856
ENSMUSG00000000385	0.1436962	0.1577149	0.3061571	0.499091
ENSMUSG00000000386	4.393459	3.087844	3.04995	3.728187
ENSMUSG00000000392	1.756341	1.14947	1.461184	1.704859
ENSMUSG00000000394	0.27104	0	0.13195	0
ENSMUSG00000000399	124.6799	129.91775	125.36268	122.078613
ENSMUSG00000000402	4.1043	4.7164	4.38135	3.41508
ENSMUSG00000000409	4.589643	3.191415	3.361515	4.478896
ENSMUSG00000000411	0.509491	0.47755	0.441994	0.475003
ENSMUSG00000000416	30.295690215262	32.3632489	44.313937	43.3036433
ENSMUSG00000000420	73.78509	78.53112	71.995	68.86005
ENSMUSG00000000435	0.15164	0.0947558	0.0328878	0.0706879
ENSMUSG00000000439	22.92599	21.0927	22.15551	21.42642
ENSMUSG00000000440	2.419263389018	2.461428	2.985645	1.527151
ENSMUSG00000000441	58.83908828	67.06299	71.14294	69.56192
ENSMUSG00000000486	3.9757848	4.809421	6.009726	5.921371
ENSMUSG00000000489	15.70959	13.77852	13.19801	14.77647
ENSMUSG00000000530	10.483068	8.417379	10.712782	9.56805900324365
ENSMUSG00000000531	6.27863	4.98717	6.33293	7.80958
ENSMUSG00000000532	47.0045	48.291	40.3798	46.9669
ENSMUSG00000000538	70.051406	63.512645	78.62638	72.66481
ENSMUSG00000000544	0	0	0.0613246	0
