sample_SRR10767134	sample_SRR10767128	sample_SRR10767131	sample_SRR10767125	sample_SRR10767121	sample_SRR10767118	sample_SRR10767115
ENSOARG00020000007	1041.65	1085.96	37.3275	1096.96	1523.43	1076.13	701.431
ENSOARG00020000011	1696.26	1764.36	64.0617	2087.47	2862.63	2004.56	1404.98
ENSOARG00020000017	18952.7	20351.7	1077.72	17843.2	24185.8	19330.7	14785.8
ENSOARG00020000020	14295.4	17901.1	1366.12	18317.7	20138.4	15805.5	12196.1
ENSOARG00020000022	3899.14	3338.4	62.7687	2243.02	5424.02	3220.1	2340.32
ENSOARG00020000023	6017.44	6626.41	301.353	7687.49	7761.19	5591.35	4639.14
ENSOARG00020000025	8890.78	9849.77	325.964	10690.3	12024	7525.08	6739.08
ENSOARG00020000027	1267.17	1299.72	59.8141	1871.32	1858.15	1320.36	794.809
ENSOARG00020000031	550.872	707.082	55.6495	724.763	838.594	731.277	525.276
ENSOARG00020000032	469.31	749.051	66.5592	471.619	714.74	677.091	494.706
ENSOARG00020000034	1556.02	1899.05	67.1431	1914.37	2278.83	1809.38	1280.73
ENSOARG00020000037	1.79444	0.908594	1.23483	1.5819	0.560487	1.26044	0.434384
ENSOARG00020000039	5.28952	7.5224	7.97978	6.62579	4.89098	4.91518	5.75129
ENSOARG00020000042	0	0	0	0	0	0	0
ENSOARG00020000043	6.49369	5.78999	2.11026	5.38143	6.7355	5.27858	7.10369
ENSOARG00020000044	4.60935	4.97737	3.65244	5.04487	4.88308	3.34331	3.34647
ENSOARG00020000045	0.686617	0.380536	0.988721	0.220353	0.176528	0.398147	0.366019
ENSOARG00020000046	64.2146	58.3686	3.25175	52.9391	59.047	65.7427	58.847
ENSOARG00020000047	20.31769173165	23.10421119649	11.74787	23.8413809	17.134687	17.74835	16.33385
ENSOARG00020000050	1.579858	1.832534230677	0.0538575	1.904674	1.302572	1.847248	0.8392764
ENSOARG00020000051	8.06453	5.52718	8.51766	6.38526	5.81436	5.58533	5.37749
ENSOARG00020000052	22.0217	18.5708	18.3276	21.938	20.4678	20.1252	21.2959
ENSOARG00020000053	0.851375	1.21242	0	1.5514	1.52875	0.818078	1.12954
ENSOARG00020000054	18.4085	17.5752	1.96736	15.5342	16.7199	16.1116	16.3284
ENSOARG00020000055	1.63846	7.71056	0	6.40611	1.47152	2.40628	1.85257
ENSOARG00020000057	0	0.175888	0	0	0	0	0
ENSOARG00020000058	20.1857	22.3863	8.66223	20.2762	19.0002	20.5164	20.5881
ENSOARG00020000059	0.235363	0	0	0	0.097682	0.110309	0
ENSOARG00020000060	22.92018	16.07033	12.17038	16.49236	19.45419	20.05442	23.8156
ENSOARG00020000061	0.137712	0.153855	0	0.652268	0.190565	0.0538029	0.0990317
ENSOARG00020000062	39.8698	33.8208	76.8216	32.2747	33.2585	47.2708	50.6353
ENSOARG00020000064	12.9158	8.48992	13.6237	8.49171	7.20923	8.41454	7.99535
ENSOARG00020000065	12.8797	16.1058	11.9321	13.0648	18.8261	12.7594	20.6625
ENSOARG00020000066	16.59527	15.57602	12.88864	14.50375	14.00808	15.78067	15.44379
ENSOARG00020000067	17.1241519	16.75252	6.7239444	17.0610069	16.26521	16.80083	18.2076807
ENSOARG00020000069	18.01251	15.70756	18.78366	12.64351	14.84876	16.30456	20.72965
ENSOARG00020000072	0	0	0	0.090523	0	0	0
ENSOARG00020000074	36.11553	33.375	23.57925	33.36058	33.00257	32.53597	36.28085
ENSOARG00020000075	80.0244	73.4303	32.2232	75.4827	76.9886	77.0538	90.9784
ENSOARG00020000078	6.19759	6.96089	2.36288	7.6876	8.37381	5.45723	4.4928
ENSOARG00020000081	0.154871	0.169425	0	0	0.15678	0	0.646831
ENSOARG00020000082	0.643111	1.07059	0.139789	1.15217	0.661531	0.762254	0.702232
ENSOARG00020000083	16.7961	17.7181	5.6361	20.2002	17.3191	17.8497	17.9833
ENSOARG00020000084	0.0829853	0	0	0	0	0	0
ENSOARG00020000085	10.12425	10.23238	3.06199	14.42163	10.87523	10.70554	7.80032
ENSOARG00020000086	0.775464	2.43956	0	0.954789	1.50203	0	0
ENSOARG00020000087	139.8	161.793	118.823	162.032	150.618	140.146	145.673
ENSOARG00020000088	109.096	96.8244	136.712	102.561	114.714	105.989	104.553
ENSOARG00020000089	0.481738	0	0	0	0.463932	0	0
ENSOARG00020000094	0.105361	0	0	1.21359	0.323683	0.729146	1.34021
ENSOARG00020000095	0.151238	0	0.16805	0.57631	0	0.172201	0
