sample_SRR8750645	sample_SRR8750677	sample_SRR8750709
ENSPTRG00000000001	37.4845	31.8999	83.9144
ENSPTRG00000000008	1.81397	0.355286	0.137689
ENSPTRG00000000009	0.173031	0.178749	0.104433
ENSPTRG00000000017	0.750268	0.481191	1.623306
ENSPTRG00000000021	3.72104	4.70269	12.3947
ENSPTRG00000000024	8.37455	8.70323	6.39164
ENSPTRG00000000025	95.90629	77.68834	80.64317
ENSPTRG00000000027	107.565	101.716	90.4874
ENSPTRG00000000028	34.84606	18.9064	56.469881
ENSPTRG00000000029	177.04135	184.87379	134.6952
ENSPTRG00000000031	5.3861	3.27011	9.51567
ENSPTRG00000000033	0.801754	0.487708	1.18406
ENSPTRG00000000034	356.782	329.779	178.616
ENSPTRG00000000035	1.14763	0.374696	0.0543422
ENSPTRG00000000037	8.12128	8.04103	9.753675
ENSPTRG00000000038	19.083767	15.25497	27.31966
ENSPTRG00000000040	0.814882	0.3908479	0.362345
ENSPTRG00000000041	1.5747	2.66748	1.15623
ENSPTRG00000000044	72.4315	78.2891	72.1623
ENSPTRG00000000047	8.40046	6.37055	13.0234
ENSPTRG00000000048	5.527551	2.227006	3.251926
ENSPTRG00000000049	46.79306	46.6309	82.28138
ENSPTRG00000000050	24.2338	21.7458	31.49725
ENSPTRG00000000051	1.8317	1.8251	1.50604
ENSPTRG00000000052	14.4771	10.6227	9.87275
ENSPTRG00000000053	2.68299	2.760012	8.13629
ENSPTRG00000000054	28.2686	29.634646	20.018328
ENSPTRG00000000055	0.2754835	1.11682	0.835324
ENSPTRG00000000057	0	0	0
ENSPTRG00000000059	1.00485	1.25481	1.456352
ENSPTRG00000000060	0.628973	1.06639	1.55615
ENSPTRG00000000062	0.502615	0.322932	0.127125
ENSPTRG00000000063	102.532	107.910652	56.180974
ENSPTRG00000000064	9.16622	9.47653	14.9956
ENSPTRG00000000067	0	0.0446597	0
ENSPTRG00000000068	34.5816	28.1388	33.8273
ENSPTRG00000000069	11.995251	12.007981	13.341335
ENSPTRG00000000070	4.94984	4.08147	5.15654
ENSPTRG00000000072	4.84205	3.264340670547	7.44845
ENSPTRG00000000075	29.9258	23.5688	8.4955
ENSPTRG00000000076	183.0515	184.7673	177.8474
ENSPTRG00000000078	5.97389	3.91237	3.83842
ENSPTRG00000000079	19.86523	16.74626	13.68798
ENSPTRG00000000081	0.237104	0.385764	0
ENSPTRG00000000082	3.86836	3.80578	2.94487
ENSPTRG00000000084	181.50507	180.957461	90.72329
ENSPTRG00000000085	0.651057	0.666838	0.451936
ENSPTRG00000000088	11.596454	7.904547	15.322103
ENSPTRG00000000089	9.32052	9.4018	5.76426
ENSPTRG00000000090	0	0.0479174	0.437461
ENSPTRG00000000091	19.2626	16.2387	32.7158
ENSPTRG00000000092	9.86773	7.0607	5.32592
ENSPTRG00000000093	19.96305	14.9246	17.10842
ENSPTRG00000000094	20.0473	18.796209	19.874552
ENSPTRG00000000096	148.33519	134.74727	51.61948
ENSPTRG00000000098	43.5965	39.9439	120.141
ENSPTRG00000000099	10.1925	6.5543	10.2352
ENSPTRG00000000100	3.706447	1.367732	0.990557
ENSPTRG00000000102	384.359	380.588	220.2443
ENSPTRG00000000103	11.35463	8.98308	15.76049
ENSPTRG00000000104	13.97728	13.43052	14.92123
ENSPTRG00000000106	24.323375	17.752295	23.740629
ENSPTRG00000000109	878.14499	820.160103	783.467016
ENSPTRG00000000111	0	0.261891	0
ENSPTRG00000000112	33.3185	16.143	115.659
ENSPTRG00000000113	3.519078	1.53878	5.290464
ENSPTRG00000000114	5.73827	3.00608	9.77145
ENSPTRG00000000115	37.38049017	46.172971	40.1306
ENSPTRG00000000120	2.0683244	2.3378	6.447804
ENSPTRG00000000121	100.220118	97.021119	73.306592
ENSPTRG00000000124	17.39543	16.90827	11.34572
ENSPTRG00000000125	0	0.156217	5.90649
ENSPTRG00000000126	23.32775	16.691566	27.07924
ENSPTRG00000000127	30.0606986531	20.7872686803	50.7995368359
ENSPTRG00000000128	0	0	0
ENSPTRG00000000130	44.652541	20.35991	40.78452
ENSPTRG00000000131	21.4559	23.2763	21.7015
ENSPTRG00000000132	30.1511	25.9998	26.5495
ENSPTRG00000000133	0.807495	0.642288	0.644061
ENSPTRG00000000134	0	0.0332433	0.113476
ENSPTRG00000000136	21.1226000042835	15.7549	16.549224
ENSPTRG00000000137	0	0	0
ENSPTRG00000000138	76.89263	79.74096	70.81675
ENSPTRG00000000140	29.773894	20.49342	30.461325
ENSPTRG00000000142	11.5142	9.37673	6.19999
ENSPTRG00000000143	0.0483552	0.118455	0.273643
ENSPTRG00000000144	5.29544	4.16416	10.18207
ENSPTRG00000000145	6.55658	3.68283	4.0456
ENSPTRG00000000146	257.581	192.099	148.784
ENSPTRG00000000147	112.5144	100.265	75.5883
ENSPTRG00000000148	14.377432	13.645254	15.5858
ENSPTRG00000000149	27.6141	24.0376	36.7555
ENSPTRG00000000150	0.876358	1.81456	0.557727
ENSPTRG00000000151	17.230273	17.004324	44.11061
ENSPTRG00000000152	0.163052	0.339881	0.481717
ENSPTRG00000000153	5.5732	4.19694	7.72492
ENSPTRG00000000154	20.35441	19.0578	19.69715
ENSPTRG00000000155	4.70053	6.73182	0.199002
ENSPTRG00000000156	0.492812	0.535646	0.472893
ENSPTRG00000000157	22.84578	16.83224	56.31149
ENSPTRG00000000158	14.746796	14.6696	20.071419
ENSPTRG00000000159	47.982	45.5797	44.501882
ENSPTRG00000000160	13.091	9.84176	28.2753
ENSPTRG00000000161	0.251737	0.3612741	0.641142
ENSPTRG00000000164	20.765346	8.86936	23.117132
ENSPTRG00000000165	7.3952966	5.0989452	7.437624
ENSPTRG00000000167	14.1587	12.0366	11.3001
ENSPTRG00000000168	0.0482313	0.0393839	0.113725
ENSPTRG00000000170	0.106225	0.346616	0
ENSPTRG00000000182	0.107242	0.0437695	0
ENSPTRG00000000184	11.09279	7.35717	4.95682
ENSPTRG00000000185	9.82658	11.02346	14.49007
ENSPTRG00000000186	17.281404	16.6893	56.910596
ENSPTRG00000000193	4.07421	3.60974	3.99577
ENSPTRG00000000194	2.381478	1.361727	0.870804
ENSPTRG00000000197	0	0.237602	0
ENSPTRG00000000200	10.2955	10.53412	8.836519
ENSPTRG00000000201	3.30239	2.86307	3.56859
ENSPTRG00000000202	1.5696	0.943619	0.945109
ENSPTRG00000000205	43.6408	39.9624	39.4327
ENSPTRG00000000206	2.1475	1.80527	1.31783
ENSPTRG00000000207	0.228305	0.28003	0.218931
ENSPTRG00000000208	3.276507	2.904396	2.994106
ENSPTRG00000000210	5.70728	5.57312	12.2067
ENSPTRG00000000211	14.11605	11.94199	18.687126
ENSPTRG00000000214	0.379554	0.595983	1.18483
ENSPTRG00000000217	0.338517	0.0941124	0.706189
ENSPTRG00000000221	1.03922	0.343476	2.00714
ENSPTRG00000000223	0.828668	0.863889	1.61174
ENSPTRG00000000224	35.5447	29.7998	14.1723
ENSPTRG00000000225	6.42131	5.39415	5.61664
ENSPTRG00000000226	30.17562	29.11529	50.2927
ENSPTRG00000000227	0.638869	0.5851351	0.0755449
ENSPTRG00000000228	24.871143	24.197559	25.30609
ENSPTRG00000000232	38.45766	30.508424	68.95167
ENSPTRG00000000238	9.50733	3.31623643666	3.72944
ENSPTRG00000000239	0.267953	0.306212	0.101456
ENSPTRG00000000241	77.262528	80.68179	54.374093
ENSPTRG00000000242	75.9963	74.6833	75.5756
ENSPTRG00000000243	47.3956	45.8702	178.452
