sample_SRR5570209	sample_SRR5570210	sample_SRR5570211	sample_SRR5570212	sample_SRR5570213	sample_SRR5570214	sample_SRR5570215	sample_SRR5570216
ENSPANG00000000040	10.948	14.21135	4.55291	6.21023	14.2362	19.14826	13.7015	15.23583
ENSPANG00000000041	71.73406	90.5502	90.9736000027287	38.7548	85.62618	106.7352	76.9261	105.6827
ENSPANG00000000052	4.48483	6.47446	5.88671	2.36927	6.57413	7.2929	3.7231	8.79627
ENSPANG00000000053	0.205429	0	0.251962	0	0	0	0	0.680482
ENSPANG00000000059	1.062263	5.397578	1.895093	1.53048	1.059195	3.38147	1.33278	4.419736
ENSPANG00000000060	0.6263090995	5.056500020544	0.63086	4.73254	0.57245853938	4.036163389	3.3859027102	2.385841
ENSPANG00000000062	12.2811	17.1608	40.6699	0	11.2252	10.1185	4.84272	26.4426
ENSPANG00000000063	0	0.687927	0.135862	0	0.60748	2.28161	0	1.46771
ENSPANG00000000071	0.565786	2.6498268492	0.466637	1.10177	1.089545	2.520897	0.497874	2.93867
ENSPANG00000000072	1.94689	4.64041	2.19549	8.00575	4.04738	4.08209	3.24959	5.07322
ENSPANG00000000084	0	0	0	0	0	0	0	0
ENSPANG00000000085	90.2006	93.2657	107.399	10.3958	108.779	138.471	56.4339	173.254
ENSPANG00000000090	0.495553	2.30818	0	0	0.679418	3.06216	0.48852	2.66746
ENSPANG00000000093	0	0.288048	0	0	0.102452	0.191071	0	0.0928237
ENSPANG00000000094	0.0606583	0	0.223194	0	0.332657	0.124942	0.358784	0.653021
ENSPANG00000000098	0	0	0	0	0	0	0	0
ENSPANG00000000102	14.44772	14.64967	15.51671	10.8729	12.23424	21.9305	13.4569	26.075700582439
ENSPANG00000000103	41.144722	54.374419	55.472925	39.38559	43.481669	48.37417	57.442825	48.22357
ENSPANG00000000107	0	0	0	0	0	0	0	0
ENSPANG00000000111	28.1375	19.3031	30.4981	0	13.1581	24.2609	23.2226	41.1836
ENSPANG00000000112	0.26774	1.66276	0.656772	0	1.46832	2.7574	0	1.99549
ENSPANG00000000116	0.135692	0.210674	0	0	0.24805	0	0	0
ENSPANG00000000117	2.12548	1.73684	2.0581	0	1.94273	2.53462	0.22056	4.16879
ENSPANG00000000122	1.97932	8.28023	2.56253	0.827802	4.74898	19.3654	0.921413	17.9165
ENSPANG00000000123	2.03213	2.94472	2.65859	0	3.2195	8.09234	1.237585	3.2535
ENSPANG00000000126	0.681283	4.09117	1.279039	0.322551	2.05603	5.69235	0.760291	4.6012252
ENSPANG00000000127	119.577	70.1685	113.173	49.6164	121.774	101.817	86.3215	77.91408
ENSPANG00000000131	3996.11167	2420.12975	3532.3045	1433.735	2635.78206	2289.2026	3641.51	2560.17429
ENSPANG00000000132	87.5217	151.762	205.747	42.2642	111.267	112.129	113.853	137.485
ENSPANG00000000141	25.9648	35.4263	40.5314	22.9029	39.6977	34.3577	35.9899	30.4937
ENSPANG00000000142	20.6524	13.687	17.1317	0	16.3762	32.5407	9.73535	23.1731
ENSPANG00000000147	108.6339	172.4745	172.7628	20.8472	155.41549	181.92773	95.9886	286.8906
ENSPANG00000000148	0.317377	0.328504	0.519022	2.12376	0.386785	0.435814	0.834327	0.350435
ENSPANG00000000165	0	0	0	0	0	0	0	0
ENSPANG00000000166	0	0	0	0	0	0	0	0
ENSPANG00000000171	0.202095	0.315581	0.254905	0	0.376305	0	0.405333	0.168452
ENSPANG00000000174	0.434562	0	0.177665	0	0.264799	0.298365	0.285596	0.479827
ENSPANG00000000175	0.0665277	0.154935	0.203993	0.166942	0.0608076	0	0.131167	0.165279
ENSPANG00000000180	0	0	0	0	0	0	0	0
ENSPANG00000000181	0.0513418	2.78995	0.818627	0.773008	1.83017	2.53804	0.101226	4.08165
ENSPANG00000000187	0	0	0	0	0	0	0	0
ENSPANG00000000188	0.034405	0	0	0	0	0	0	0
ENSPANG00000000194	4.247428	17.59717	6.92627	0.477489	9.00066	10.76508	3.141186	6.2868
ENSPANG00000000195	231.56060237776	276.7743341006	220.16550815711	36.4529	356.4899672105	321.62321865	159.46410486572	315.97740255449
ENSPANG00000000200	26.59401	94.881661	41.034036	63.283093	56.606538	100.69931	36.913595	94.325593
ENSPANG00000000205	18.7898	28.315453	52.132439	112.596	21.5793	23.22024	112.529	14.88206
ENSPANG00000000206	0.184217	0.335703	0.301779	0	1.25882	0	0.726408	0.244007
ENSPANG00000000209	2.66663	4.63855	1.27192	0.991337	2.34708	8.44237	1.89857	6.1546
ENSPANG00000000210	13.4705	20.4071	20.477	35.2795	21.7149	19.396325	21.8723	17.742482
ENSPANG00000000216	0	0	0	0	0	0	0	0
ENSPANG00000000217	103.3137	217.56495	95.362	19.76422	120.37665	173.6235	53.64851	211.65741
ENSPANG00000000222	0	0	0	0	0	0	0	0
ENSPANG00000000228	0	0	0.289309	0	0	0	0.465063	0
ENSPANG00000000229	0	0	0	0	0	0	0	0
ENSPANG00000000238	5.75938	0.856741	5.62244	2.70811	5.25732	1.06805	10.5558	3.26441
ENSPANG00000000239	0	0	0	0	0	0.129291	0	0.0735584
ENSPANG00000000242	13.8852	36.5007	22.0103	3.52202	29.2312	50.2825	12.1562	61.3536
ENSPANG00000000243	5.60338	12.69313	9.238591	0.601958	5.58823	10.02796	5.55731	14.30123
ENSPANG00000000246	469.119	379.612	378.043	54.4363	316.837	125.671	314.545	328.23
ENSPANG00000000247	20.83578	24.1275000099227	24.9187900011269	77.6704000410724	26.418750135803	22.028560003364	27.7024032564	22.52644552291
ENSPANG00000000252	0	0	0	0	0	0	0	0
ENSPANG00000000253	0	0	0	0	0	0	0	0
ENSPANG00000000257	0.0639062	0.104917	0.235145	0	0.40888	0.695946	0.125998	0.26461
ENSPANG00000000258	48.5684	47.9214	49.4329	13.3141	46.6774	47.0773	55.2219	53.4865
ENSPANG00000000263	2.827418	2.46336	2.5357	2.41296	3.03223	4.25836	5.02407	4.688428
ENSPANG00000000264	2.50154	9.131499	5.58845	4.03537	8.9825	8.46494	2.99447	4.363704
ENSPANG00000000267	20.91328	28.55626394	20.9866280458795	2.32873	26.93498	40.2791308	11.6643	58.97586
ENSPANG00000000268	12.5082	4.90838	17.1959	0	10.4277	14.7222	2.16803	9.33386
ENSPANG00000000270	0	10.6055	2.26436	0	3.0374	13.6897	0.363995	5.35101
ENSPANG00000000271	3.45876	4.77337	2.59246	0	4.3908	8.31159	3.40967	6.0468
ENSPANG00000000274	15.4262	6.837256	13.589984	2.09242	7.078517	12.99942	8.262882	14.039369
ENSPANG00000000275	0.71874192093	8.53121	2.75047572022	0.590672	3.02004	10.5049	0.7789006	12.17673
ENSPANG00000000276	0	0	0	0	0	0	0	0
ENSPANG00000000277	0	0	0	0	0	0	8.84499	0
ENSPANG00000000279	0.290114	8.10771	1.00279	0.264727	1.59102	5.43241	0.259997	5.76599
ENSPANG00000000280	3.96554	14.6093	8.66574	12.389	8.66444	12.5334	10.8969	15.5651
ENSPANG00000000281	11.9985	12.4192	24.8952	7.52714	18.9557	14.9314	17.2495	15.297469
ENSPANG00000000282	23.0215	20.59873	18.10502	9.06956	20.324	24.12519	15.03442	26.3616609193
ENSPANG00000000283	54.6137400487011	71.8043	62.59860268	27.36551096	82.7509400097383	78.9592	59.827845	89.39538
ENSPANG00000000284	31.64493	23.06398	32.8987	1.524310978074	26.86547	25.9269	26.59	39.0893
ENSPANG00000000290	0.245089	3.04419	0.300605	0	0.448033	2.77654	0	1.42075
ENSPANG00000000291	18.64619	49.19751	27.8546039	3.50569	41.1809	52.65077	19.23305	68.13681
