sample_SRR5279360	sample_SRR5279359	sample_SRR5279358	sample_SRR5279356	sample_SRR5279349	sample_SRR5279348	sample_SRR5279345	sample_SRR5279344
ENSPEMG00000000001	7.02226	11.9988	8.23458	11.4438	6.64347	9.65699	12.8203	12.4463
ENSPEMG00000000003	0	0	0	1.11681	0	0	0	0
ENSPEMG00000000004	237.363	304.743	336.036	254.785	235.659	174.878	186.821	161.166
ENSPEMG00000000005	0	0	0	0.0467966	0	0	0	0
ENSPEMG00000000009	24.7834	22.6562	18.2287	23.3237	23.4903	26.4226	27.1067	19.5179
ENSPEMG00000000011	6.6286	3.70161	5.52256	8.3236	5.97433	16.0649	14.1904	13.9402
ENSPEMG00000000012	30.9808	29.3181	33.6187	30.9393	24.358	24.8892	23.2224	13.5061
ENSPEMG00000000013	324.627	303.477	243.24	412.443	308.726	510.202	376.025	345.47
ENSPEMG00000000014	2.73427	2.93853	2.73403	4.6944	3.57364	1.30575	2.16497	2.86033
ENSPEMG00000000015	23.6242	19.8334	19.054	11.3978	16.4665	18.1691	16.337	13.795
ENSPEMG00000000016	17.6473	18.6984	16.0259	16.6715	15.9247	22.9666	20.5638	23.0796
ENSPEMG00000000017	12.544	11.084	10.1342	8.76147	5.76753	8.79283	7.9679	7.69702
ENSPEMG00000000018	92.256	120.269	109.25	103.366	113.413	175.065	104.452	97.5566
ENSPEMG00000000021	0.275854	0	0	0	0	0	0	0
ENSPEMG00000000022	635.795	657.523	681.508	638.84	984.423	1146.8	482.846	566.291
ENSPEMG00000000023	30.6058	27.083534771	26.3785	28.1294	34.36	41.46415	37.7584	25.5171
ENSPEMG00000000025	32.2229	38.2756	30.166	33.6988	27.7792	48.9875	39.1356	30.0523
ENSPEMG00000000026	10.7236	11.3168	8.15397	11.7213	17.4394	2.60569	9.76161	11.876
ENSPEMG00000000027	9.0714	3.59704	13.7898	16.3651	7.62579	19.6055	6.25571	4.6983
ENSPEMG00000000028	11.0138717	10.87960321285	8.44374	11.7562	14.3054268511	10.60850616175	10.6206000358989	7.9294000308466
ENSPEMG00000000029	91.9484	108.997685	86.878617	91.770087	67.5086	130.708	82.57189	76.6513000288149
ENSPEMG00000000031	27.1277	34.3153	26.8743	35.5903	14.7705	23.6763	24.557	22.5611
ENSPEMG00000000032	136.021	119.862	128.217	148.699	128.7775	170.926	107.39346	95.5194
ENSPEMG00000000033	22.442	31.8971	23.2057	31.9823	17.7306	19.8488	24.5032	24.9057
ENSPEMG00000000036	4.34501	2.416046	1.28392	3.61391	6.52063	0	6.639648	9.612307
ENSPEMG00000000037	0	0	0	0	0	0	0	0
ENSPEMG00000000039	3.51723	2.10479	3.1873	2.60704	0	7.44329	3.30141	1.47593
ENSPEMG00000000040	0	0	0	0	0	0	0	0
