sample_SRR1205288	sample_SRR1205289	sample_SRR1205290	sample_SRR1205291	sample_SRR1205292	sample_SRR1205293	sample_SRR1205294
ENSRNOG00000000001	0.219335	1.03759	0.536633	0.713962	0.645676	0.439437	0.433298
ENSRNOG00000000007	184.3394	91.79078	154.008601	157.0277	98.733526	109.150100435536	102.6991
ENSRNOG00000000008	0	0.0760887	0.205039	0.25275	0	0	0.0991616
ENSRNOG00000000009	0	0	0.112326	0.186825	0.112674	0.230013	0.113379
ENSRNOG00000000010	84.6596	60.7301	56.8899	62.4875	75.8158	59.8779	42.7209
ENSRNOG00000000012	1.74829	0.897917	2.1507	1.49178	1.53615	3.0147	1.08228
ENSRNOG00000000017	0.246404	0.388829	0.482394	0.401242	0.484233	0.370592	0.121745
ENSRNOG00000000021	21.5858	24.9747	20.6794	16.8647	19.5301	15.1948	15.1572
ENSRNOG00000000024	25.8023	20.634	18.8017	20.1559	17.711	18.3632	17.3183
ENSRNOG00000000033	79.646	91.9364	89.7155	84.1442	91.9883	81.7998	87.777
ENSRNOG00000000034	2.51699	3.12561	3.69137	3.26994	3.09356	3.41538	3.17636
ENSRNOG00000000035	0	0.925581	0.285333	0.47639	0.29048	0.294826	0.577587
ENSRNOG00000000036	19.01	18.1853	17.4425	18.8253	16.9122	18.3775	17.4986
ENSRNOG00000000040	6.532856	4.273848	4.391616	3.5834662	4.742244487	3.9899520214584	4.536734
ENSRNOG00000000041	3.61629	3.3871	3.46193	3.03404	3.29622	2.7992	2.7687
ENSRNOG00000000042	21.554816	17.394065	18.132291	15.816818	15.240993	11.0364897	13.592271
ENSRNOG00000000043	99.1648	74.6291	83.543	83.2809	79.8706	81.7909	75.5103
ENSRNOG00000000044	47.6261	45.2104	44.7259	43.9398	43.6581	40.2685	41.1854
ENSRNOG00000000047	58.4	53.5777	62.0119	51.0619	59.4335	59.4789	56.4052
ENSRNOG00000000048	36.5219	39.8473	41.7506	37.3128	36.2396	29.8746	34.672
ENSRNOG00000000053	10.0417	9.44892	9.27261	8.64769	9.70793	9.22447	9.01295
ENSRNOG00000000054	216.899	255.511	221.932	233.478	237.049	212.886	243.685
ENSRNOG00000000055	0	0	0	0	0.372764	0	0
ENSRNOG00000000060	372.425	545.555	468.664	476.464	507.405	433.169	555.805
ENSRNOG00000000062	16.8636	13.8024	18.8156	13.3725	16.3332	10.9735	13.7915
ENSRNOG00000000064	1137.24	1028.72	1094.2	1110.59	1106.28	1381.66	1187.83
ENSRNOG00000000065	0.0523387	0	0.102349	0.0850009	0.153192	0	0
ENSRNOG00000000066	29.027	25.0682	27.1956	22.8619	27.8583	22.7775	24.3961
ENSRNOG00000000068	28.6918	27.6339	27.2317	27.2691	29.4834	29.4229	25.9673
ENSRNOG00000000070	14.5341	19.5571	21.6114	24.5645	17.7736	10.2942	11.0412
ENSRNOG00000000073	20.8315	19.092	18.7995	17.4464	22.0374	18.2122	20.0812
ENSRNOG00000000075	10.9369	9.04928	9.07069	9.4408	9.33435	8.11655	9.76878
ENSRNOG00000000081	1.89591	1.57749	2.57682	2.2282	0.929788	1.1603	1.66439
ENSRNOG00000000082	12.447437	11.48275	11.25083	11.75534	13.05511	10.456538	13.09537
ENSRNOG00000000091	3.32751	2.85637	3.72597	3.45127	3.26681	2.91341	3.44315
ENSRNOG00000000095	34.0263	33.3732	33.9473	34.2535	35.9489	31.1569	36.1663
ENSRNOG00000000096	12.7329	10.4951	11.2014	10.777	10.0201	12.7256	8.25169
ENSRNOG00000000097	0.725205	1.35222	1.64979	0.4621	0.572579	1.15405	0.560172
ENSRNOG00000000098	50.4258	47.4768	53.059	52.2554	53.5807	52.1505	53.4505
ENSRNOG00000000104	25.0927	22.2791	24.6786	24.7181	23.3605	25.9098	22.0579
ENSRNOG00000000105	117.6894	74.5109	97.6165	75.20524	85.7879	60.382	54.89415
ENSRNOG00000000108	49.4934	41.8516	49.9133	43.7304	50.9528	52.7871	46.387
ENSRNOG00000000109	0	0	0.578128	0	0	0	0
ENSRNOG00000000111	271.589	222.348	231.399	245.069	235.808	270.728	185.717
ENSRNOG00000000112	19.6626	16.6574	18.6581	17.5646	16.7542	16.1243	15.4861
ENSRNOG00000000113	15.4024	11.7995	12.095	11.1636	10.7519	9.18261	8.18397
ENSRNOG00000000121	7.82835	6.210259	7.5969	6.19442	8.32436	6.518609	5.96267
ENSRNOG00000000122	14.6849	16.1783	14.8076	12.1613	14.0286	15.5023	16.6305
ENSRNOG00000000123	24.9243	24.8981	25.8105	24.8224	26.56722	22.3793	23.6756
ENSRNOG00000000124	1.72435	0	0	0	2.08436	0	0
ENSRNOG00000000127	29.0083	26.892	27.79	25.100417	25.2888	19.5108	21.7423
ENSRNOG00000000129	56.0675	58.3047	55.3093	49.1199	45.6952	32.4252	43.3546
ENSRNOG00000000130	44.9971	56.141	46.057	47.5539	44.6264	41.2699	51.2329
ENSRNOG00000000133	108.372	88.1141	97.0421	96.4688	87.5174	98.5797	89.7456
ENSRNOG00000000137	1.93319	2.70228	3.34936	2.66625	3.36939	1.79234	3.38254
ENSRNOG00000000138	2.0117	3.28834	1.883102	2.490235	2.300738	1.94861	2.406454
ENSRNOG00000000142	20.1765	18.2391	20.1951	14.8321	18.7541	16.8496	16.9622
ENSRNOG00000000145	20.2052	13.154	19.0513	15.5928	15.561	11.9833	12.4053
ENSRNOG00000000150	6.42686	6.32409	6.20812	5.5508	6.05213	6.34503	7.53148
ENSRNOG00000000151	31.4299	32.9771	38.8523	27.1389	35.7657	20.7877	32.0214
ENSRNOG00000000155	19.17	17.545	19.2403	14.0381	13.8393	15.0178	14.3381
ENSRNOG00000000156	1.3864767563	1.408469085	1.59421	1.543826578	1.50806571291417	2.004077126	1.74090658
ENSRNOG00000000157	53.9542	46.9348	48.4214	49.176	47.503	47.4433	43.618
ENSRNOG00000000158	37.9501	43.263	44.7806	35.5789	43.1777	44.2941	34.2693
ENSRNOG00000000161	8.61159	11.7498	9.90884	10.4347	11.7254	8.62794	10.6808
ENSRNOG00000000164	89.2137	81.1553	95.065	85.5531	90.0501	92.0861	92.8401
ENSRNOG00000000165	0.1855648	0	0.0946845	0.288812	0.434746	0.193709	0.0955459
ENSRNOG00000000166	8.54139	7.94097	6.60464	8.39822	7.40243	6.58797	8.83067
ENSRNOG00000000167	1.12347	0.40832	0.676358	0.913462	0.76144	0.605054	1.19421
ENSRNOG00000000168	114.467	113.835	125.062	127.583	138.454	134.317	129.886
ENSRNOG00000000169	4.86043	5.40269	5.33147	4.79328	5.39015	3.68705	4.31835
ENSRNOG00000000170	14.4852	16.3009	16.5164	16.1519	13.9689	13.4461	17.876
ENSRNOG00000000172	7.38285	5.59003	5.81646	7.40865	8.08011	7.38888	6.72129
ENSRNOG00000000175	31.07328	27.50933	28.47265	28.31973	31.15221	27.2944	25.67309
ENSRNOG00000000177	10.5239	11.9508	15.5844	9.71603	13.0053	14.4218	15.0704
ENSRNOG00000000184	0.818161	0.794244	1.17633	0.781486	0.938705	0.480113	0.616794
ENSRNOG00000000185	26.6572	24.3417	23.2826	25.9672	29.1685	25.9553	27.8982
ENSRNOG00000000186	86.8032	88.7444	92.4141	87.0672	81.1244	88.972	83.9376
ENSRNOG00000000187	0.387289	0.743778	0.673096	0.244517	0.503342	0.386225	0.508993
ENSRNOG00000000190	8.63355	8.69542	9.04897	5.77438	7.43535	5.29447	6.0652
ENSRNOG00000000195	1.74727	1.08787	2.05218	0.544245	0.516258	0.773642	0.327482
ENSRNOG00000000196	1.70158	1.76078	1.33689	1.87106	2.46499	1.80883	2.13185
ENSRNOG00000000199	0.379242	0	0	0.948162	0	0	0
ENSRNOG00000000201	4.64696	3.1324	3.47564	3.95255	1.93291	3.40522	4.67687
ENSRNOG00000000204	27.381682	28.028443	27.706335	24.7112	24.16323	23.29533	24.444733
ENSRNOG00000000219	31.9668	30.8698	34.434	30.941	32.1728	31.1232	28.4469
ENSRNOG00000000221	11.0325	10.8746	12.181	9.99951	11.7789	11.6222	13.6889
ENSRNOG00000000230	16.2821	14.8416	15.9116	17.0341	15.3704	18.615	16.1206
ENSRNOG00000000231	88.8645	158.957	118.511	131.803	138.303	136.134	165.428
ENSRNOG00000000233	4.33912	5.61806	4.86686	4.22221	4.66079	3.98291	4.26974
ENSRNOG00000000236	101.394	100.111	97.6715	98.3101	97.2326	84.7398	90.787
ENSRNOG00000000237	32.552	26.4504	30.4098	21.6548	24.553	18.2387	21.5873
ENSRNOG00000000239	0	0.160067	0	0.16499	0.200111	0	0.200149
ENSRNOG00000000244	7.60473	7.42944	7.16259	7.26597	7.69505	7.47879	7.11293
ENSRNOG00000000245	8.89598	8.75387	8.141154	7.59252	7.58703	8.4093	6.7466200476536
ENSRNOG00000000246	79.6399	73.3752	74.5456	67.7774	72.4463	65.0747	65.0816
ENSRNOG00000000247	26.9828	24.0451	24.4691	23.2528	22.9932	24.2694	19.9766
ENSRNOG00000000248	190.531	174.413	185.755	193.492	185.613	189.6	174.019
ENSRNOG00000000249	10.2998	11.1187	11.7441	11.9218	16.1128	16.5957	14.4636
ENSRNOG00000000250	24.8149	21.0903	23.4039	22.0655	21.5904	23.1274	20.354
ENSRNOG00000000251	0.0605562	0	0	0	0	0.0604611	0
ENSRNOG00000000252	0	1.00145	1.20311	2.0486	1.29942	1.288	2.45919
ENSRNOG00000000257	15.3866	16.1417	14.8197	13.9809	13.7502	12.8483	13.0644
ENSRNOG00000000258	24.01787	26.50532	27.136	24.40652	23.22956	22.46435	21.7731
ENSRNOG00000000262	21.7908	23.3546	23.3553	24.1175	24.4875	25.5658	21.197
ENSRNOG00000000264	24.9273	27.4292	23.426	24.5306	22.8699	20.9186	22.4419
ENSRNOG00000000274	217.8731	165.8283	197.0569	185.9956	185.0632	185.2169	152.3395
ENSRNOG00000000275	40.8637	41.006383	35.8139	33.8314	35.9933	30.708532	31.9347
ENSRNOG00000000277	0.458359	0.503613	0.27319800139897	0.302334022407	0.535063	0.502128	0.361209
ENSRNOG00000000279	13.3067	8.37335	5.65642	6.38044	9.07467	12.2647	8.27023
ENSRNOG00000000281	63.8499	70.9218	68.3395	69.4514	74.365	65.9032	83.5234
ENSRNOG00000000282	0	0	0.140087	0	0	0	0
ENSRNOG00000000283	17.2779	16.3003	17.1606	15.903	15.2853	14.4752	15.5828
ENSRNOG00000000288	5.97632	7.62143	6.81626	5.90591	6.83865	5.91681	5.33588
ENSRNOG00000000299	10.835693	11.8837	11.7761	7.65741	9.19971	6.23902	7.78183
ENSRNOG00000000302	27.9967	18.21077	22.80279	20.4224	21.16457	22.45914	22.74343
ENSRNOG00000000303	5.80416	4.01909	4.99736	5.43255	4.92947	5.79604	6.84473
ENSRNOG00000000304	81.9023	64.9242	74.3767	72.8056	72.6525	78.3367	69.4919
ENSRNOG00000000306	14.2337	9.27095	10.4443	10.0169	11.8858	11.5935	9.27744
ENSRNOG00000000307	3.11317	2.60431	3.5176	3.28161	2.68061	2.13656	2.59016
ENSRNOG00000000308	5.71898	6.39164	5.7417	5.4185	5.10062	4.59059	6.23648
ENSRNOG00000000312	31.5816	28.3178	30.4548	25.7057	29.2777	28.9698	25.208
ENSRNOG00000000314	42.0798	40.0358	43.884	41.3992	43.5009	43.1719	43.9091
ENSRNOG00000000316	16.2898	18.1064	18.0704	12.4997	15.5702	10.036	12.629
ENSRNOG00000000320	0	0	0	0	0	0	0
ENSRNOG00000000321	18.2326	10.7652	14.1727	9.72662	10.9113	11.8004	11.9687
ENSRNOG00000000322	33.4639	31.9588	32.1607	31.901	31.2859	27.3096	28.6756
ENSRNOG00000000323	0.0816556227428	0.06409860348112	0.40698100102327	0.06624390616815	0.13244600493705	0.05422960317221	0.2056947257878
ENSRNOG00000000327	16.1855	15.3954	14.8464	14.9277	14.0712	12.9862	13.4104
ENSRNOG00000000335	0.0849609	0.267593	0.0831144	0.483527	0	0.0849675	0.167711
ENSRNOG00000000340	146.59148	137.1243	150.19706	142.74348	153.60512	160.91752	161.53276
ENSRNOG00000000341	5.08931	5.16337	5.15566	5.78182	5.9725	4.28861	6.09789
ENSRNOG00000000345	0	0	0	0	0	0	0
ENSRNOG00000000368	21.25661	15.38129	20.87075	17.76999	17.49861	17.10592	15.68416
ENSRNOG00000000373	1.304564	1.688306	1.185208	0.985186	1.095434	0.559452	1.28792
ENSRNOG00000000376	0	0	0	0	0	0	0
ENSRNOG00000000378	25.0209	22.38	24.7949	21.1494	25.0275	23.0183	25.0414
ENSRNOG00000000383	0.0286426	0.0674574	0	0.0858277	0.139395	0	0.0564396
ENSRNOG00000000384	0.497418	2.40331	0.489599	2.46787	1.01518	0.51226	0.996421
ENSRNOG00000000386	16.5212	13.7519	14.0764	15.0374	16.5118	16.6563	14.5615
ENSRNOG00000000387	23.24216	24.12162	29.30703	24.18345	27.84413	24.59935	23.37286
ENSRNOG00000000390	27.1121	22.2907	23.4041	21.2334	20.4969	20.1567	20.303
ENSRNOG00000000392	24.206629	23.818791	23.196745	21.828266	18.7832	22.4143	21.841143
ENSRNOG00000000394	15.76202	16.85614	15.67965	15.58592	15.78797	22.12637	15.18873
ENSRNOG00000000395	72.7787	66.0294	70.3343	69.1735	65.9545	67.1656	67.7493
ENSRNOG00000000396	33.91447	30.70664	32.86662	32.99388	29.37898	31.5409	33.5001
ENSRNOG00000000397	33.7503	30.6791	32.4902	33.462	34.2886	32.8383	32.7216
ENSRNOG00000000398	28.6136	22.7491	27.1932	22.175	26.3182	27.3413	24.7388
ENSRNOG00000000401	0	0	0	0	0	0	0
ENSRNOG00000000405	0.191627	0.226462	0.468738	0.233792	0.0938878	0.191783	0.662193
ENSRNOG00000000406	0.0527314	0.124117	0.0343529	0.0285089	0.0579422	0.0699952	0.155805
ENSRNOG00000000407	4.97579	4.88175	5.16704	3.38707	2.58864	2.54171	4.31194
