sample_HFS308	sample_HFS309	sample_HFS310	sample_HFS311	sample_HFS312
A1BG	7.55137	6.50282	9.88676	17.9437	10.5122
A1CF	0.0629032	0	0.30174	0.355787	0.232889
A2M	4.77109	4.6311	6.14234	6.42586	5.37813
A2ML1	0.069803	0.137003	0.214426	0.0171472	0.122983
A3GALT2	0	0.205554	0.126844	0	0
A4GALT	6.09165	3.5894	4.55065	3.00101	3.38309
A4GNT	0	0	0	0.0920986	0.164137
AAAS	10.9435	9.80636	8.19682	8.83707	10.4438
AACS	80.3306	86.9188	73.5156	84.8796	89.7928
AADAC	0.690975	0.690828	1.13939	1.73555	1.91024
AADAT	9.787728	11.230365	10.6223	11.06776	9.902834
AAED1	13.5696	15.3369	15.7272	5.92227	11.3203
AAGAB	114.275	114.916	115.445	121.867	133.868
AAK1	21.9773	28.0327	24.0606	25.9127	28.9581
AAMDC	113.678	94.5185	80.6158	71.1	72.2855
AAMP	147.10508	168.00709	156.5298	167.94891	161.62488
AANAT	0	1.11012	0	0	0
AAR2	42.8914	45.6426	38.0966	40.8467	35.5851
AARS	167.246	164.65	142.527	193.699	174.092
AARS2	13.5911	16.6424	15.6988	15.0422	14.9214
AASDH	10.73699	12.490471	10.567459	9.243044	10.624089
AASDHPPT	64.3652	77.8291	75.5028	72.425	85.2736
AASS	0.22493	0.377974	0.883615	0.746235	0.569415
AATF	9.72258	19.3772	11.4744	10.2016	10.4925
AATK	114.981	129.662	90.4407	75.0163	89.9577
ABAT	756.468	551.14	723.836	842.704	802.725
ABCA1	16.6495	9.78001	10.6997	17.729	14.6343
ABCA12	0.0504684	0.010622	0.0129114	0	0
ABCA13	0	0	0.00869346	0.0312977	0
ABCA2	88.1133	67.2275	81.6447	95.8192	90.2934
ABCA4	0.0720069	0.0969795	0.25056	0.233432	0.00951758
ABCA5	4.89174	4.85536	6.0628	6.59301	7.54163
ABCA6	0.60525	0.181849	0.464768	0.700891	0.54273
ABCA7	4.45555	3.94549	3.75269	5.14081	4.30427
ABCA8	0.244381	0.175417	0.479538	0.105049	0.219381
ABCA9	0.577956	0.562325	1.94811	0.124232	0.5043
ABCB1	6.1334	5.54387	9.18734	7.72671	7.46951
ABCB10	11.874	10.0831	10.3041	12.232	12.3617
ABCB11	0.0539927	0.0227015	0.193544	0.397944	0.142674
ABCB4	7.92785	5.92346	7.84512	9.94899	7.74142
ABCB5	0	0	0	0	0
ABCB6	23.904	31.9293	24.5026	28.1821	26.5809
ABCB7	14.6041	16.49459	16.16477	17.192389	17.257996
ABCB8	30.6248	35.3287	21.5083	30.0528	36.6959
ABCB9	53.2027	58.975	49.9849	41.7172	48.4771
ABCC1	2.48011	3.32249	3.57408	3.80774	3.2317
ABCC10	8.94457	8.75925	7.37768	7.4239	7.20811
ABCC11	0	0	0	0	0.142433
ABCC2	0.108823	0.0549291	0.356545	0.400972	0.230087
ABCC3	0.0642779	0.0901264	0.0438738	0.0473675	0.0141568
ABCC4	0.15357	0.33566	0.314634	0.475433	0.284029
ABCC5	35.9373	38.0028	34.0931	41.6697	39.6809
ABCC6	0.725026	3.34437	4.83758	0.430899	0.355401
ABCC8	13.7493	14.1128	11.2554	10.7785	14.8486
ABCC9	2.53427	1.457773	1.21975	1.59621	1.87483
ABCD1	7.26227	7.96606	7.84427	7.71232	7.95857
ABCD2	29.1069	30.8623	28.1421	28.1239	30.989
ABCD3	58.5811	54.609	64.9061	64.32660422982	65.781636
ABCD4	13.6734	9.78533	9.66613	11.2979	11.5498
ABCE1	32.5156	33.6125	33.4927	42.7106	36.1512
ABCF1	70.258	59.5594	66.0021	84.4335	75.0369
ABCF2	103.477	94.9607	89.1859	97.147	103.52
ABCF3	93.609	95.3912	86.7757	98.7045	96.5963
ABCG1	49.505	65.9565	44.7681	55.352	53.3994
ABCG2	8.60144	7.52751	10.9672	5.60015	7.67491
ABCG4	52.5819	55.8759	49.5371	51.5075	57.9893
ABCG5	0	0.702778	0.061416	0.22077	0.0394982
ABCG8	0.0557436	0	0.17156	0.24671	0.367916
