sample_SRR11526905	sample_SRR11526906	sample_SRR11526907	sample_SRR11526952	sample_SRR11526976	sample_SRR11526977	sample_SRR11526978	sample_SRR11527019
ENSSSCG00000000002	0.194568	1.08823	0.78261	1.11637	0.447977	0.495264	0.580601	0.912501
ENSSSCG00000000003	14.059164	21.52438	19.568815	27.161073	16.602779	17.946864	12.79533	22.292326
ENSSSCG00000000005	9.38081	17.833	14.6952	18.0666	13.9052	10.8939	10.3578	12.8034
ENSSSCG00000000006	7.81798	16.1932	13.6384	11.5738	9.06523	7.29867	8.10885	9.37707
ENSSSCG00000000007	10.88604	28.23157	17.52977	25.01281	19.06258	15.74407	12.7226300357793	24.30723
ENSSSCG00000000010	16.03638	80.0984	186.5513	12.96324	11.62441	32.8733	16.19611	15.621005
ENSSSCG00000000014	15.18303	32.3398	31.399	19.75783	17.08437	16.66101	12.88728	24.81417
ENSSSCG00000000018	35.25939	79.1642	40.93836	70.4736	39.09954	39.55649	39.08393	70.0803
ENSSSCG00000000019	34.5584	40.1905	34.7915	28.6153	37.2888	40.0606	36.6069	40.9355
ENSSSCG00000000020	2.98054	7.92118	4.7404	4.577733	2.529764	2.5137	2.38491	3.895078
ENSSSCG00000000021	0.824651	2.31458	7.27652	1.519953	0.762713	0.686181	0.4262596	0.91902
ENSSSCG00000000022	18.492	40.3904	23.0289	41.4089	21.4048	20.5568	21.7034	25.7254
ENSSSCG00000000024	5.850317	9.3815	11.261076	16.12794	11.153056	8.141422	6.98449	8.891609
ENSSSCG00000000025	11.525787	17.358055	29.13673	15.908929	20.834406	13.141236	10.446399	19.88298
ENSSSCG00000000026	74.805	79.748	28.0359	137.077	88.2208	104.003	111.956	90.5289
ENSSSCG00000000028	2.61878	5.06549	2.79684	3.76229	1.78561	2.62699	1.79407	3.69816
ENSSSCG00000000029	1.6956	4.75098	2.7657	1.75712	2.24871	1.68235	1.43211	1.9188
ENSSSCG00000000031	9.640084	21.40987	15.979548	51.77612	36.328754	34.06185	37.841588	33.329925
ENSSSCG00000000033	15.713542	44.3843	115.351	31.64319	30.47833	41.14511	21.568122	56.71794
ENSSSCG00000000034	35.2441	85.42721	48.08018	69.02364	39.10975	40.11742	45.50986	47.81051
ENSSSCG00000000035	36.70153	46.18134	26.58225	51.82825	71.40201	54.89035	67.49204	78.93341
ENSSSCG00000000036	34.342629	50.60417	45.4837	31.668034	38.40375	39.003296	29.52582	54.15161
ENSSSCG00000000037	27.18738518	31.14481	39.605774	26.216574	28.261696	28.295499192291	19.393032	25.315588242991
