Species	Individ	Age	Sex	Seq	Sample_ID	PeptideRef	TranscriptomeRef	CDNA_file	Male_SM (days)	Female_SM	Reproductive	Tissue_type	Notes	Reads_prefilt	Reads_postfilt	Mapping_Rate
macaca_mulatta	1	6yo	female	Paired	SRR10334377	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	18194713	17868773	59.8
macaca_mulatta	2	6yo	male	Paired	SRR10334376	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	16265535	15960911	56.9
macaca_mulatta	3	6yo	female	Paired	SRR10334375	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	16749827	16476141	58.3
macaca_mulatta	4	5yo	male	Paired	SRR10334373	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	22791693	22485951	60.7
macaca_mulatta	5	24yo	female	Paired	SRR10334372	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	16416975	16291798	62.6
macaca_mulatta	6	16o	female	Paired	SRR10334371	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	20613770	20413424	61.8
macaca_mulatta	7	17yo	female	Paired	SRR10334370	Macaca_mulatta.Mmul_10.pep.all.fa	Macaca_mulatta.Mmul_10.104.gtf.gz	Macaca_mulatta.Mmul_10.cdna.all.fa	2007	1231	yes	Hypothalamus	NA	17095353	16862667	61
cavia_porcellus	1	.95yo	female	Single	SRR5516115	Cavia_porcellus.Cavpor3.0.pep.all.fa	Cavia_porcellus.Cavpor3.0.104.gtf.gz	Cavia_porcellus.Cavpor3.0.cdna.all.fa	77	74	yes	Hypothalamus	breeder	26579106	25903258	64.4
cavia_porcellus	2	.95yo	female	Single	SRR5516118	Cavia_porcellus.Cavpor3.0.pep.all.fa	Cavia_porcellus.Cavpor3.0.104.gtf.gz	Cavia_porcellus.Cavpor3.0.cdna.all.fa	77	74	yes	Hypothalamus	breeder	26845473	26278894	63.7
cavia_porcellus	3	.95yo	female	Single	SRR5516121	Cavia_porcellus.Cavpor3.0.pep.all.fa	Cavia_porcellus.Cavpor3.0.104.gtf.gz	Cavia_porcellus.Cavpor3.0.cdna.all.fa	77	74	yes	Hypothalamus	non-breeder	27141981	26428904	63.4
