target_id	length	eff_length	est_counts	tpm
ENSFDAT00000000006.1	958	909	0	0
ENSFDAT00000000010.1	1042	993	2	0.274352
ENSFDAT00000000016.1	1542	1493	4	0.364946
ENSFDAT00000000019.1	684	635	0	0
ENSFDAT00000000021.1	204	155	2	1.75763
ENSFDAT00000000022.1	681	632	2	0.431063
ENSFDAT00000000023.1	784	735	18	3.3359
ENSFDAT00000000025.1	346	297	0	0
ENSFDAT00000000027.1	297	248	0	0
ENSFDAT00000000028.1	1378	1329	0	0
ENSFDAT00000000032.1	1812	1763	0	0
ENSFDAT00000000033.1	531	482	0	0
ENSFDAT00000000035.1	1140	1091	1	0.124854
ENSFDAT00000010138.1	405	356	111	42.4718
ENSFDAT00000010132.1	529	480	16.4972	4.68164
ENSFDAT00000010130.1	924	875	0	0
ENSFDAT00000010122.1	1462	1413	153.359	14.7841
ENSFDAT00000010123.1	283	234	0	0
ENSFDAT00000010124.1	270	221	231	142.38
ENSFDAT00000010125.1	3537	3488	702.198	27.4228
ENSFDAT00000010126.1	798	749	0	0
ENSFDAT00000010127.1	3994	3945	1654	57.1106
ENSFDAT00000010128.1	192	143	66.3305	63.1837
ENSFDAT00000010129.1	681	632	0	0
ENSFDAT00000010113.1	4256	4207	366	11.8505
ENSFDAT00000010114.1	940	891	12	1.83456
ENSFDAT00000010115.1	1998	1949	313	21.8756
ENSFDAT00000010116.1	702	653	210	43.8061
ENSFDAT00000010117.1	435	386	1	0.352891
ENSFDAT00000010118.1	3888	3839	136	4.82557
ENSFDAT00000010119.1	444	395	0	0
ENSFDAT00000010120.1	459	410	0	0
ENSFDAT00000010121.1	594	545	77	19.2452
ENSFDAT00000010110.1	1362	1313	288	29.8783
ENSFDAT00000010111.1	994	945	3	0.432432
ENSFDAT00000010112.1	696	647	197	41.4753
ENSFDAT00000010108.1	528	479	0	0
ENSFDAT00000010103.1	423	374	0	0
ENSFDAT00000010094.1	765	716	0	0
ENSFDAT00000010093.1	1588	1539	4	0.354038
ENSFDAT00000010087.1	1748	1699	58902	4722.42
ENSFDAT00000010088.1	822	773	0	0
ENSFDAT00000010089.1	1939	1890	1772.68	127.761
ENSFDAT00000010090.1	2369	2320	203.448	11.9452
ENSFDAT00000010091.1	3162	3113	75.865	3.31963
ENSFDAT00000010092.1	3067	3018	610.539	27.5564
ENSFDAT00000010074.1	279	230	18.5963	11.0135
ENSFDAT00000010072.1	1299	1250	290.669	31.675
ENSFDAT00000010073.1	1269	1220	43.3308	4.83799
ENSFDAT00000010061.1	831	782	8	1.39351
ENSFDAT00000010062.1	987	938	0	0
ENSFDAT00000010063.1	981	932	401.277	58.6484
ENSFDAT00000010056.1	987	938	164.723	23.921
ENSFDAT00000010053.1	1451	1402	0	0
ENSFDAT00000010052.1	729	680	43	8.61366
ENSFDAT00000010054.1	2512	2463	334	18.4718
ENSFDAT00000010055.1	4822	4773	423.537	12.0873
ENSFDAT00000010049.1	1167	1118	451	54.9494
ENSFDAT00000010048.1	1419	1370	41	4.07654
ENSFDAT00000010050.1	642	593	71	16.3092
ENSFDAT00000010051.1	429	380	0	0
ENSFDAT00000010040.1	2612	2563	14665	779.402
ENSFDAT00000010046.1	4820	4771	44.026	1.25698
ENSFDAT00000010043.1	3123	3074	2957	131.031
ENSFDAT00000010044.1	897	848	0	0
ENSFDAT00000010045.1	321	272	0	0
ENSFDAT00000010042.1	1086	1037	2.11395	0.27768
ENSFDAT00000010047.1	1002	953	1	0.142934
ENSFDAT00000010041.1	3294	3245	205	8.60532
ENSFDAT00000010036.1	372	323	774	326.412
ENSFDAT00000010039.1	2483	2434	526	29.437
ENSFDAT00000010035.1	4669	4620	21	0.619163
ENSFDAT00000010030.1	3500	3451	927	36.59
ENSFDAT00000010022.1	2001	1952	105	7.32719
ENSFDAT00000010021.1	1416	1367	127	12.655
ENSFDAT00000009990.1	3645	3596	21	0.795477
ENSFDAT00000010007.1	1458	1409	26	2.51357
ENSFDAT00000010006.1	2835	2786	501.561	24.5228
ENSFDAT00000010000.1	2805	2756	313.858	15.5125
ENSFDAT00000009998.1	2796	2747	420.581	20.8554
ENSFDAT00000010015.1	1910	1861	2	0.14639
ENSFDAT00000010013.1	2595	2546	33.8053	1.80865
ENSFDAT00000009987.1	1193	1144	312	37.1498
ENSFDAT00000009989.1	3846	3797	11220	402.513
ENSFDAT00000009988.1	1851	1802	10	0.755915
ENSFDAT00000009999.1	606	557	27.7536	6.78723
ENSFDAT00000009981.1	3219	3170	1124	48.2986
ENSFDAT00000009974.1	942	893	27.0005	4.11858
ENSFDAT00000009992.1	462	413	114.887	37.892
ENSFDAT00000009995.1	3079	3030	965.113	43.3874
ENSFDAT00000009991.1	508	459	2303	683.454
ENSFDAT00000009993.1	4362	4313	790.396	24.9628
ENSFDAT00000009996.1	324	275	20.6038	10.2057
ENSFDAT00000009994.1	1197	1148	19	2.25445
ENSFDAT00000009997.1	2107	2058	82.2658	5.44505
ENSFDAT00000009982.1	2246	2197	0	0
ENSFDAT00000009975.1	2242	2193	17.8931	1.11141
ENSFDAT00000009971.1	2424	2375	578	33.1507
ENSFDAT00000009970.1	1845	1796	0	0
ENSFDAT00000009964.1	2599	2550	691	36.9119
ENSFDAT00000009969.1	1587	1538	0	0
ENSFDAT00000009972.1	330	281	0	0
ENSFDAT00000009968.1	1293	1244	53	5.80341
ENSFDAT00000009956.1	1095	1046	226	29.431
ENSFDAT00000009967.1	772	723	0	0
ENSFDAT00000009965.1	2265	2216	1752.32	107.714
ENSFDAT00000009957.1	900	851	94.6783	15.1547
ENSFDAT00000009966.1	6588	6539	772.391	16.0899
ENSFDAT00000009963.1	2319	2270	2398.88	143.949
ENSFDAT00000009955.1	378	329	7.12417	2.94962
ENSFDAT00000009958.1	2177	2128	5	0.320056
ENSFDAT00000009960.1	897	848	0	0
ENSFDAT00000009959.1	4295	4246	2543	81.582
ENSFDAT00000009961.1	1133	1084	2	0.251321
ENSFDAT00000009962.1	1657	1608	27	2.28721
ENSFDAT00000009949.1	1519	1470	197	18.2548
ENSFDAT00000009950.1	1215	1166	1166	136.216
ENSFDAT00000009951.1	3664	3615	6371	240.064
ENSFDAT00000009952.1	2485	2436	53.8362	3.01041
ENSFDAT00000009948.1	357	308	0.193126	0.0854117
ENSFDAT00000009954.1	753	704	43	8.32001
ENSFDAT00000009953.1	1883	1834	666	49.4656
ENSFDAT00000009942.1	921	872	0	0
ENSFDAT00000009944.1	2466	2417	952	53.6523
ENSFDAT00000009943.1	3396	3347	1289.07	52.4625
ENSFDAT00000009927.1	5715	5666	36	0.865474
ENSFDAT00000009932.1	3030	2981	0	0
ENSFDAT00000009940.1	4211	4162	276	9.03306
ENSFDAT00000009941.1	4854	4805	402.589	11.4129
ENSFDAT00000009931.1	3195	3146	26.4111	1.14355
ENSFDAT00000009922.1	3240	3191	3.35634e-06	1.43274e-07
ENSFDAT00000009924.1	5618	5569	654.013	15.997
ENSFDAT00000009925.1	1248	1199	0	0
ENSFDAT00000009923.1	2673	2624	45	2.33602
ENSFDAT00000009926.1	961	912	75.0277	11.2061
ENSFDAT00000009929.1	744	695	86.9723	17.0461
ENSFDAT00000009928.1	963	914	1.41625	0.211068
ENSFDAT00000009881.1	7314	7265	590	11.0623
ENSFDAT00000009930.1	954	905	0	0
ENSFDAT00000009933.1	1390	1341	274	27.8323
ENSFDAT00000009919.1	1256	1207	24	2.70852
ENSFDAT00000009920.1	165	116	0	0
ENSFDAT00000009895.1	1470	1421	7.00231	0.671236
ENSFDAT00000009896.1	1479	1430	0.00602186	0.000573618
ENSFDAT00000009921.1	4986	4937	539.12	14.8748
ENSFDAT00000009900.1	1977	1928	36	2.54345
ENSFDAT00000009908.1	1459	1410	603.064	58.2603
ENSFDAT00000009909.1	1488	1439	19.9943	1.89266
ENSFDAT00000009901.1	3348	3299	656	27.0863
ENSFDAT00000009888.1	2644	2595	1422.8	74.6853
ENSFDAT00000009887.1	597	548	297	73.8251
ENSFDAT00000009882.1	1361	1312	1033.67	107.319
ENSFDAT00000009884.1	1203	1154	1755.33	207.195
ENSFDAT00000009877.1	2130	2081	1357	88.8251
ENSFDAT00000009883.1	906	857	16.6349	2.64404
ENSFDAT00000009885.1	276	227	0	0
ENSFDAT00000009880.1	1881	1832	0	0
ENSFDAT00000009886.1	2956	2907	253	11.8551
ENSFDAT00000009878.1	1050	1001	771	104.918
ENSFDAT00000009876.1	4598	4549	2173	65.0687
ENSFDAT00000009869.1	258	209	0	0
ENSFDAT00000009879.1	3363	3314	270	11.0979
ENSFDAT00000009871.1	3872	3823	1128.41	40.206
ENSFDAT00000009873.1	555	506	121.647	32.7476
ENSFDAT00000009867.1	702	653	33	6.88381
ENSFDAT00000009868.1	1089	1040	20	2.61954
ENSFDAT00000009872.1	858	809	160	26.9401
ENSFDAT00000009870.1	1681	1632	0	0
ENSFDAT00000009874.1	1275	1226	0	0
ENSFDAT00000009875.1	720	671	72	14.6163
ENSFDAT00000009866.1	2245	2196	0	0
ENSFDAT00000009861.1	2548	2499	719.513	39.2194
ENSFDAT00000009862.1	2542	2493	250.958	13.7122
ENSFDAT00000009851.1	894	845	0	0
ENSFDAT00000009859.1	1007	958	2	0.284376
ENSFDAT00000009847.1	3870	3821	797	28.4125
ENSFDAT00000009860.1	870	821	0	0
ENSFDAT00000009849.1	540	491	0.000650189	0.000180379
ENSFDAT00000009850.1	741	692	16.9993	3.34622
ENSFDAT00000009848.1	546	497	49	13.4297
ENSFDAT00000009842.1	2661	2612	1458.95	76.0841
ENSFDAT00000009843.1	2550	2501	375.054	20.4272
ENSFDAT00000009853.1	3855	3806	143	5.11794
ENSFDAT00000009852.1	560	511	56	14.9278
ENSFDAT00000009844.1	1203	1154	1	0.118038
ENSFDAT00000009845.1	1504	1455	6	0.561715
ENSFDAT00000009846.1	519	470	0	0
ENSFDAT00000009828.1	4292	4243	1725.3	55.3885
ENSFDAT00000009831.1	3537	3488	588.701	22.9904
ENSFDAT00000009833.1	728	679	3	0.601838
ENSFDAT00000009832.1	2076	2027	1439.81	96.7565
ENSFDAT00000009830.1	834	785	2051.19	355.929
ENSFDAT00000009829.1	1137	1088	27.8974	3.49272
ENSFDAT00000009827.1	3133	3084	251.894	11.1258
ENSFDAT00000009824.1	3807	3758	610.876	22.1424
ENSFDAT00000009823.1	1707	1658	0	0
ENSFDAT00000009825.1	3565	3516	1457	56.4467
ENSFDAT00000009826.1	2150	2101	96.0069	6.2245
ENSFDAT00000009822.1	1301	1252	10.9931	1.19604
ENSFDAT00000009813.1	3775	3726	160.26	5.85881
ENSFDAT00000009800.1	3780	3731	149.74	5.46691
ENSFDAT00000009812.1	4832	4783	59.6945	1.70005
ENSFDAT00000009772.1	12097	12048	1923.99	21.7529
ENSFDAT00000009732.1	8004	7955	0	0
ENSFDAT00000009731.1	7917	7868	9.00828	0.155957
ENSFDAT00000009817.1	3105	3056	817	36.4164
ENSFDAT00000009814.1	7086	7037	541	10.4722
ENSFDAT00000009815.1	7344	7295	356	6.64741
ENSFDAT00000009821.1	6035	5986	517.146	11.7681
ENSFDAT00000009809.1	783	734	765.588	142.078
ENSFDAT00000009759.1	2661	2612	57.4629	2.99669
ENSFDAT00000009746.1	2592	2543	887.674	47.5483
ENSFDAT00000009742.1	2577	2528	104.334	5.62181
ENSFDAT00000009739.1	2571	2522	56.0258	3.02601
ENSFDAT00000009719.1	801	752	0	0
ENSFDAT00000009709.1	753	704	18.2662	3.53431
ENSFDAT00000009705.1	582	533	41.2371	10.5388
ENSFDAT00000009703.1	495	446	0	0
ENSFDAT00000009730.1	6441	6392	1943.57	41.4183
ENSFDAT00000009706.1	6327	6278	355.427	7.71182
ENSFDAT00000009816.1	2528	2479	56	3.07709
ENSFDAT00000009818.1	630	581	155	36.3399
ENSFDAT00000009770.1	4731	4682	2941	85.5641
ENSFDAT00000009819.1	808	759	11	1.97414
ENSFDAT00000009820.1	3546	3497	49.606	1.93227
ENSFDAT00000009810.1	708	659	2	0.413402
ENSFDAT00000009799.1	5066	5017	123	3.33956
ENSFDAT00000009811.1	3536	3487	578	22.579
ENSFDAT00000009802.1	1326	1277	98	10.4535
ENSFDAT00000009798.1	6131	6082	314.079	7.03429
ENSFDAT00000009801.1	5583	5534	41.1199	1.01214
ENSFDAT00000009803.1	1557	1508	226.157	20.4285
ENSFDAT00000009805.1	1593	1544	18.0168	1.58949
ENSFDAT00000009806.1	1788	1739	321	25.1439
ENSFDAT00000009804.1	2780	2731	1106	55.1647
ENSFDAT00000009807.1	2162	2113	40	2.57863
ENSFDAT00000009808.1	1320	1271	1.50935	0.161761
ENSFDAT00000009778.1	1326	1277	462	49.281
ENSFDAT00000009790.1	891	842	0	0
ENSFDAT00000009797.1	1077	1028	192	25.4411
ENSFDAT00000009789.1	5014	4965	981.731	26.934
ENSFDAT00000009773.1	1451	1402	1291.52	125.482
ENSFDAT00000009769.1	1176	1127	840.364	101.571
ENSFDAT00000009779.1	264	215	141.843	89.8662
ENSFDAT00000009774.1	252	203	0	0
ENSFDAT00000009768.1	714	665	200.072	40.9819
ENSFDAT00000009747.1	4280	4231	925.59	29.7991
ENSFDAT00000009767.1	3401	3352	833	33.8508
ENSFDAT00000009762.1	909	860	57	9.02827
ENSFDAT00000009761.1	5365	5316	10477.3	268.467
ENSFDAT00000009752.1	2437	2388	1601	91.324
ENSFDAT00000009760.1	725	676	86.4053	17.4109
ENSFDAT00000009750.1	1611	1562	398.483	34.7501
ENSFDAT00000009745.1	4530	4481	119	3.61743
ENSFDAT00000009743.1	1800	1751	214	16.6478
ENSFDAT00000009751.1	1639	1590	157	13.4503
ENSFDAT00000009744.1	6988	6939	1300.86	25.5365
ENSFDAT00000009729.1	7455	7406	189.359	3.48281
ENSFDAT00000009679.1	6207	6158	785.024	17.3649
ENSFDAT00000009741.1	625	576	0	0
ENSFDAT00000009695.1	3147	3098	921	40.4954
ENSFDAT00000009646.1	1494	1445	257	24.2266
ENSFDAT00000009738.1	1468	1419	8	0.767955
ENSFDAT00000009704.1	4996	4947	1055	29.0495
ENSFDAT00000009733.1	705	656	127	26.3711
ENSFDAT00000009708.1	1167	1118	100	12.1839
ENSFDAT00000009707.1	1326	1277	705	75.2015
ENSFDAT00000009702.1	504	455	77	23.0519
ENSFDAT00000009685.1	1482	1433	51	4.84788
ENSFDAT00000009694.1	1974	1925	351	24.8373
ENSFDAT00000009693.1	678	629	41	8.87894
ENSFDAT00000009660.1	4424	4375	732.011	22.7912
ENSFDAT00000009666.1	2673	2624	108.989	5.65779
ENSFDAT00000009678.1	3408	3359	294.977	11.9621
ENSFDAT00000009686.1	578	529	3771.98	971.275
ENSFDAT00000009687.1	1254	1205	1	0.113042
ENSFDAT00000009668.1	2310	2261	265	15.9652
ENSFDAT00000009652.1	1476	1427	250.464	23.9083
ENSFDAT00000009641.1	1470	1421	906.536	86.8998
ENSFDAT00000009665.1	2560	2511	39	2.11566
ENSFDAT00000009658.1	1404	1355	0	0
ENSFDAT00000009667.1	999	950	1788.56	256.454
ENSFDAT00000009663.1	177	128	397.049	422.535
ENSFDAT00000009661.1	1038	989	25.7805	3.55077
ENSFDAT00000009664.1	2553	2504	61.3202	3.33578
ENSFDAT00000009659.1	1529	1480	185	17.027
ENSFDAT00000009662.1	2068	2019	109	7.35391
ENSFDAT00000009651.1	5950	5901	2009	46.3748
ENSFDAT00000009650.1	422	373	0	0
ENSFDAT00000009638.1	327	278	209	102.407
ENSFDAT00000009613.1	2661	2612	0	0
ENSFDAT00000009600.1	2505	2456	0	0
ENSFDAT00000009597.1	2787	2738	14.0077	0.696886
ENSFDAT00000009630.1	2395	2346	260.374	15.1181
ENSFDAT00000009619.1	1842	1793	1.48076e-08	1.12494e-09
ENSFDAT00000009599.1	1665	1616	0	0
ENSFDAT00000009637.1	2346	2297	10	0.593017
ENSFDAT00000009639.1	174	125	1099	1197.61
ENSFDAT00000009642.1	636	587	53	12.2989
ENSFDAT00000009640.1	1188	1139	272	32.5292
ENSFDAT00000009643.1	1745	1696	107.398	8.62581
ENSFDAT00000009632.1	1366	1317	976.602	101.009
ENSFDAT00000009601.1	1854	1805	1	0.0754659
ENSFDAT00000009629.1	1146	1097	100	12.4171
ENSFDAT00000009644.1	1558	1509	191.069	17.2476
ENSFDAT00000009645.1	3649	3600	276	10.4432
ENSFDAT00000009631.1	729	680	406.546	81.4383
ENSFDAT00000009581.1	1524	1475	1179	108.88
ENSFDAT00000009595.1	1652	1603	0	0
ENSFDAT00000009598.1	1362	1313	2	0.207488
ENSFDAT00000009574.1	6572	6523	638.788	13.3394
ENSFDAT00000009549.1	2265	2216	267.99	16.4732
ENSFDAT00000009620.1	4367	4318	481.708	15.196
ENSFDAT00000009594.1	285	236	2	1.15437
ENSFDAT00000009593.1	2423	2374	581	33.3368
ENSFDAT00000009596.1	2704	2655	17	0.872193
ENSFDAT00000009580.1	537	488	0	0
ENSFDAT00000009575.1	1264	1215	521	58.4103
ENSFDAT00000009573.1	1869	1820	29.9417	2.24095
ENSFDAT00000009570.1	462	413	4.14697	1.36776
ENSFDAT00000009571.1	438	389	72	25.2122
ENSFDAT00000009572.1	984	935	31.9248	4.65098
ENSFDAT00000009553.1	7052	7003	1023	19.8985
ENSFDAT00000009562.1	1530	1481	5489	504.854
ENSFDAT00000009557.1	1734	1685	159.553	12.8983
ENSFDAT00000009550.1	963	914	65.4473	9.7538
