target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	279.35	83	30.3881
NM_001281925.1	634	349.334	250	73.1935
NM_001285876.1	834	533.455	142	27.2248
NM_001286187.1	1110	806.639	356.396	45.1884
NM_001290408.1	830	529.775	41	7.91527
NM_001291139.1	4671	4367.64	397	9.29645
NM_001291140.1	4671	4367.64	397	9.29645
NM_001291520.1	4282	3978.64	245.598	6.31341
NM_001293736.1	2063	1759.64	588.471	34.2038
NM_001301748.1	4136	3832.64	1836.4	49.0053
XM_004600094.1	3370	3066.64	1294.7	43.1798
XM_004600095.1	3286	2982.64	1873.3	64.2362
XM_004600096.1	1395	1091.64	206.4	19.3377
XM_004600097.1	1242	938.639	24.5999	2.68045
XM_004600098.1	4328	4024.64	18.7523	0.476543
XM_004600099.1	4314	4010.64	14.2477	0.363332
XM_004600100.1	4040	3736.64	0	0
XM_004600101.1	1026	722.639	92	13.0209
XM_004600102.1	2487	2183.64	45.9618	2.15273
XM_004600103.1	2439	2135.64	550.038	26.3414
XM_004600104.1	2604	2300.64	591	26.2732
XM_004600105.1	1188	884.639	585	67.6337
XM_004600106.1	488	228.789	1060	473.853
XM_004600107.1	5374	5070.64	524	10.5692
XM_004600108.1	3753	3449.64	0	0
XM_004600109.1	4293	3989.64	185	4.74255
XM_004600110.1	1550	1246.64	6	0.492248
XM_004600111.1	485	226.441	34	15.3567
XM_004600112.1	1479	1175.64	327	28.4477
XM_004600113.1	4152	3848.64	173	4.5974
XM_004600114.1	3963	3659.64	0	0
XM_004600115.2	5115	4811.64	0	0
XM_004600116.1	858	556.802	288	52.9012
XM_004600117.1	3384	3080.64	137	4.54834
XM_004600118.1	2052	1748.64	46	2.69049
XM_004600119.1	3624	3320.64	748.706	23.0602
XM_004600120.1	3183	2879.64	8.29385	0.294572
XM_004600122.2	1092	788.639	169	21.917
XM_004600123.1	4041	3737.64	345	9.44051
XM_004600124.1	1599	1295.64	0	0
XM_004600125.2	4680	4376.64	1945.25	45.4577
XM_004600126.1	2628	2324.64	168.801	7.42664
XM_004600127.1	2544	2240.64	138.199	6.30823
XM_004600128.1	1680	1376.64	0	0
XM_004600129.1	2030	1726.64	107	6.33805
XM_004600130.2	9293	8989.64	0.084492	0.000961273
XM_004600131.2	9225	8921.64	142.946	1.6387
XM_004600133.1	3098	2794.64	49	1.79326
XM_004600134.1	1578	1274.64	144	11.5544
XM_004600135.1	1673	1369.64	158	11.7984
XM_004600136.1	737	442.11	197	45.5731
XM_004600137.1	1225	921.639	141	15.647
XM_004600138.1	3510	3206.64	405	12.9175
XM_004600140.1	4321	4017.64	124	3.15663
XM_004600141.1	4199	3895.64	0	0
XM_004600142.2	2770	2466.64	392.369	16.269
XM_004600143.2	2647	2343.64	0.631466	0.0275571
XM_004600144.1	357	138.19	0	0
XM_004600145.2	6774	6470.64	1910.93	30.2044
XM_004600146.1	3612	3308.64	148.949	4.60427
XM_004600147.1	2568	2264.64	30.5382	1.37917
XM_004600148.1	2509	2205.64	145.513	6.74747
XM_004600149.1	3009	2705.64	217	8.20282
XM_004600150.1	8211	7907.64	2.25558e-06	2.91733e-08
XM_004600151.1	8208	7904.64	445.519	5.76445
XM_004600152.1	8208	7904.64	85.122	1.10137
XM_004600153.1	8199	7895.64	86.1476	1.11591
XM_004600154.1	8181	7877.64	482.211	6.26058
XM_004600156.1	1698	1394.64	4	0.29334
XM_004600157.1	2782	2478.64	0.000426956	1.76175e-05
XM_004600158.1	2755	2451.64	19.3754	0.808289
XM_004600159.1	8561	8257.64	0.000955536	1.18349e-05
XM_004600160.1	2533	2229.64	21.7564	0.997991
XM_004600161.1	2538	2234.64	20.7169	0.948179
XM_004600162.1	8339	8035.64	1579.15	20.0991
XM_004600163.1	822	522.303	0	0
XM_004600164.1	2148	1844.64	1	0.055445
XM_004600165.1	1309	1005.64	166	16.8826
XM_004600166.1	1593	1289.64	537.684	42.6415
XM_004600167.1	999	695.639	231.316	34.0091
XM_004600168.1	5802	5498.64	68	1.26482
XM_004600170.1	1008	704.639	1310	190.142
XM_004600171.1	5443	5139.64	33	0.656682
XM_004600172.1	1084	780.639	470	61.5774
XM_004600173.1	5727	5423.64	220	4.14864
XM_004600174.1	826	525.934	6209	1207.43
XM_004600175.1	825	524.934	38	7.40376
XM_004600176.1	2161	1857.64	91.7653	5.05232
XM_004600177.1	2110	1806.64	105.235	5.95746
XM_004600178.2	734	439.424	36	8.379
XM_004600179.1	1898	1594.64	551	35.3397
XM_004600180.1	420	180.179	56	31.7875
XM_004600181.1	1119	815.639	0	0
XM_004600182.1	3813	3509.64	741.856	21.6188
XM_004600185.1	1803	1499.64	95	6.47904
XM_004600186.1	1888	1584.64	217	14.0056
XM_004600187.2	2134	1830.64	43	2.40237
XM_004600188.1	3860	3556.64	348	10.0072
XM_004600189.1	387	157.884	721.659	467.486
XM_004600190.1	342	128.891	25.3409	20.1083
XM_004600191.1	294	100.595	0	0
XM_004600192.1	708	414.903	12	2.95807
XM_004600193.1	756	459.376	433.206	96.4494
XM_004600194.2	1567	1263.64	526	42.5732
XM_004600195.1	792	493.324	16	3.31712
XM_004600196.1	1259	955.639	601	64.3212
XM_004600197.1	873	571.296	0	0
XM_004600198.1	3438	3134.64	188	6.134
XM_004600199.1	2097	1793.64	0	0
XM_004600200.1	1525	1221.64	1071	89.6644
XM_004600201.1	444	196.366	114	59.3762
XM_004600202.1	2165	1861.64	554	30.436
XM_004600203.1	231	64.5899	657	1040.34
XM_004600204.1	1936	1632.64	727	45.5426
XM_004600205.2	621	338.203	1722.29	520.837
XM_004600206.2	867	565.296	843.617	152.631
XM_004600207.1	567	291.675	1.38332	0.485061
XM_004600208.1	1164	860.639	34.5235	4.10268
XM_004600209.1	1045	741.639	64.4765	8.89165
XM_004600210.1	393	161.588	4	2.53176
XM_004600211.1	1206	902.639	1094	123.959
XM_004600212.1	1901	1597.64	110.18	7.05336
XM_004600213.1	1756	1452.64	154.82	10.9004
XM_004600214.2	3318	3014.64	4337	147.139
XM_004600215.1	3276	2972.64	174	5.9866
XM_004600216.2	1289	985.639	685.203	71.1009
XM_004600217.2	1216	912.639	0	0
XM_004600218.1	1626	1322.64	263	20.3371
XM_004600219.2	4557	4253.64	3144	75.5954
XM_004600220.1	1842	1538.64	490	32.5711
XM_004600221.2	1158	854.639	626.709	74.9993
XM_004600222.2	1174	870.639	0	0
XM_004600223.1	1106	802.639	93.9092	11.9663
XM_004600224.2	1106	802.639	220.848	28.1415
XM_004600225.1	8449	8145.64	2296	28.8284
XM_004600226.1	2796	2492.64	1015	41.6467
XM_004600227.2	1180	876.639	491	57.2841
XM_004600228.1	420	180.179	36	20.4348
XM_004600229.1	3434	3130.64	724	23.6526
XM_004600230.2	582	304.537	432.098	145.116
XM_004600231.1	942	638.972	0	0
XM_004600232.1	960	656.841	0	0
XM_004600233.1	3023	2719.64	172	6.46831
XM_004600234.2	1938	1634.64	0	0
XM_004600235.1	1207	903.639	1515.98	171.582
XM_004600236.1	1171	867.639	747.904	88.1618
XM_004600237.1	1153	849.639	73.4031	8.83595
XM_004600238.1	1117	813.639	434.712	54.6441
XM_004600239.1	1112	808.639	0	0
XM_004600240.1	961	657.776	0	0
XM_004600241.2	1536	1232.64	17.0306	1.41308
XM_004600242.1	1833	1529.64	0	0
XM_004600244.1	1048	744.639	9.19711	1.26322
XM_004600245.1	877	575.296	1.65018	0.293368
XM_004600246.1	987	683.776	641	95.8777
XM_004600247.2	2031	1727.64	218	12.9056
XM_004600248.1	1260	956.639	191	20.4201
XM_004600249.1	3003	2699.64	364	13.7902
XM_004600250.2	995	691.639	0	0
XM_004600251.1	2938	2634.64	1798	69.7979
