target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	313.209	1651	240.234
NM_001281925.1	634	386.747	469	55.2672
NM_001285876.1	834	580.117	339	26.6321
NM_001286187.1	1110	854.83	737.981	39.3448
NM_001290408.1	830	576.117	146	11.5495
NM_001291139.1	4671	4415.83	1148	11.8482
NM_001291140.1	4671	4415.83	1148	11.8482
NM_001291520.1	4282	4026.83	393.06	4.44855
NM_001293736.1	2063	1807.83	1382.09	34.8418
NM_001301748.1	4136	3880.83	4510.94	52.9742
XM_004600094.1	3370	3114.83	2217.62	32.4471
XM_004600095.1	3286	3030.83	3700.38	55.6425
XM_004600096.1	1395	1139.83	399.174	15.9604
XM_004600097.1	1242	986.83	72.8257	3.36329
XM_004600098.1	4328	4072.83	19.0178	0.212807
XM_004600099.1	4314	4058.83	48.9822	0.549996
XM_004600100.1	4040	3784.83	0	0
XM_004600101.1	1026	770.83	184	10.8788
XM_004600102.1	2487	2231.83	141.941	2.89847
XM_004600103.1	2439	2183.83	806.059	16.8217
XM_004600104.1	2604	2348.83	1439	27.921
XM_004600105.1	1188	932.83	1438	70.2552
XM_004600106.1	488	258.37	2834	499.896
XM_004600107.1	5374	5118.83	1210	10.773
XM_004600108.1	3753	3497.83	0	0
XM_004600109.1	4293	4037.83	466	5.25969
XM_004600110.1	1550	1294.83	50	1.75986
XM_004600111.1	485	255.784	60	10.6906
XM_004600112.1	1479	1223.83	707	26.3282
XM_004600113.1	4152	3896.83	260	3.04077
XM_004600114.1	3963	3707.83	0	0
XM_004600115.2	5115	4859.83	0	0
XM_004600116.1	858	603.822	642	48.456
XM_004600117.1	3384	3128.83	206	3.00059
XM_004600118.1	2052	1796.83	156	3.95676
XM_004600119.1	3624	3368.83	1259.25	17.0356
XM_004600120.1	3183	2927.83	43.746	0.68095
XM_004600122.2	1092	836.83	404	22.0022
XM_004600123.1	4041	3785.83	848	10.2084
XM_004600124.1	1599	1343.83	0	0
XM_004600125.2	4680	4424.83	4375	45.0613
XM_004600126.1	2628	2372.83	80.5006	1.54616
XM_004600127.1	2544	2288.83	351.499	6.99895
XM_004600128.1	1680	1424.83	0	0
XM_004600129.1	2030	1774.83	279	7.16423
XM_004600130.2	9293	9037.83	0.11688	0.000589386
XM_004600131.2	9225	8969.83	287.883	1.4627
XM_004600133.1	3098	2842.83	38	0.609193
XM_004600134.1	1578	1322.83	597	20.568
XM_004600135.1	1673	1417.83	299	9.61101
XM_004600136.1	737	484.794	401	37.6972
XM_004600137.1	1225	969.83	416	19.5488
XM_004600138.1	3510	3254.83	659	9.2274
XM_004600140.1	4321	4065.83	246	2.75745
XM_004600141.1	4199	3943.83	0	0
XM_004600142.2	2770	2514.83	548	9.93102
XM_004600143.2	2647	2391.83	1.12761e-06	2.14858e-08
XM_004600144.1	357	155.807	3	0.877521
XM_004600145.2	6774	6518.83	4404.48	30.7927
XM_004600146.1	3612	3356.83	356.423	4.83904
XM_004600147.1	2568	2312.83	0	0
XM_004600148.1	2509	2253.83	415.577	8.40334
XM_004600149.1	3009	2753.83	380	6.28881
XM_004600150.1	8211	7955.83	0.0363994	0.000208512
XM_004600151.1	8208	7952.83	238.929	1.36921
XM_004600152.1	8208	7952.83	390.422	2.23735
XM_004600153.1	8199	7943.83	684.674	3.92804
XM_004600154.1	8181	7925.83	1038.94	5.97403
XM_004600156.1	1698	1442.83	0	0
XM_004600157.1	2782	2526.83	5.1337	0.0925926
XM_004600158.1	2755	2499.83	0	0
XM_004600159.1	8561	8305.83	0	0
XM_004600160.1	2533	2277.83	16.4362	0.328853
XM_004600161.1	2538	2282.83	0	0
XM_004600162.1	8339	8083.83	2602.38	14.6715
XM_004600163.1	822	568.174	0	0
XM_004600164.1	2148	1892.83	3	0.0722323
XM_004600165.1	1309	1053.83	426	18.423
XM_004600166.1	1593	1337.83	837.83	28.5415
XM_004600167.1	999	743.83	872.17	53.4379
XM_004600168.1	5802	5546.83	16	0.131461
XM_004600170.1	1008	752.83	3719	225.139
XM_004600171.1	5443	5187.83	179	1.5725
XM_004600172.1	1084	828.83	1285	70.6577
XM_004600173.1	5727	5471.83	240	1.99894
XM_004600174.1	826	572.117	11922	949.7
XM_004600175.1	825	571.117	40	3.19196
XM_004600176.1	2161	1905.83	325.575	7.78555
XM_004600177.1	2110	1854.83	246.425	6.05483
XM_004600178.2	734	481.94	4	0.378259
XM_004600179.1	1898	1642.83	1500	41.6122
XM_004600180.1	420	203.51	125	27.9927
XM_004600181.1	1119	863.83	0	0
XM_004600182.1	3813	3557.83	1783.73	22.8489
XM_004600185.1	1803	1547.83	230	6.77215
XM_004600186.1	1888	1632.83	621	17.333
XM_004600187.2	2134	1878.83	155	3.75981
XM_004600188.1	3860	3604.83	639	8.07864
XM_004600189.1	387	177.977	2008.46	514.304
XM_004600190.1	342	144.905	63.6276	20.0117
XM_004600191.1	294	111.491	1.91691	0.783584
XM_004600192.1	708	457.356	79	7.87217
XM_004600193.1	756	503.347	1086.97	98.4174
XM_004600194.2	1567	1311.83	1294	44.9551
XM_004600195.1	792	538.565	10	0.846222
XM_004600196.1	1259	1003.83	1545	70.144
XM_004600197.1	873	618.639	1	0.073669
XM_004600198.1	3438	3182.83	518	7.41717
XM_004600199.1	2097	1841.83	0	0
XM_004600200.1	1525	1269.83	1918	68.8375
XM_004600201.1	444	221.669	319	65.5854
XM_004600202.1	2165	1909.83	1208	28.8267
XM_004600203.1	231	71.8665	2266	1437
XM_004600204.1	1936	1680.83	1656	44.9013
XM_004600205.2	621	375.143	5409.11	657.129
XM_004600206.2	867	612.762	1564	116.323
XM_004600207.1	567	326.516	0	0
XM_004600208.1	1164	908.83	73.7033	3.69595
XM_004600209.1	1045	789.83	87.2967	5.03716
XM_004600210.1	393	182.765	12	2.99233
XM_004600211.1	1206	950.83	2976	142.644
XM_004600212.1	1901	1645.83	389.797	10.7938
XM_004600213.1	1756	1500.83	549.203	16.6772
XM_004600214.2	3318	3062.83	9906	147.4
XM_004600215.1	3276	3020.83	353	5.32562
XM_004600216.2	1289	1033.83	1547.07	68.1998
XM_004600217.2	1216	960.83	0	0
XM_004600218.1	1626	1370.83	616	20.4795
XM_004600219.2	4557	4301.83	8358	88.5465
XM_004600220.1	1842	1586.83	1202	34.522
XM_004600221.2	1158	902.83	132.478	6.68743
XM_004600222.2	1174	918.83	5.10289	0.253106
XM_004600223.1	1106	850.83	694.669	37.2098
XM_004600224.2	1106	850.83	12.7506	0.682985
