OG0005999 >XP_012791491.1
OG0006000 >XP_004616133.1
OG0006001 >XP_004602263.1
OG0006003 >XP_004611149.1
OG0006004 >XP_004611148.1
OG0006005 >XP_004613816.1
OG0006006 >XP_004616132.1
OG0006007 >XP_004600164.1
OG0006008 >XP_012788419.1
OG0006010 >XP_004611147.1
OG0006011 >XP_012788697.1
OG0006012 >XP_004613820.1
OG0006013 >XP_004612786.1
OG0006014 >XP_012789836.1
OG0006015 >XP_004602264.1
OG0006017 >XP_004610857.1
OG0006018 >XP_004612897.1
OG0006019 >XP_004611146.1
OG0006020 >XP_004601672.1
OG0006021 >XP_004617637.1
OG0006022 >XP_004610911.1
OG0006023 >XP_004602350.1
OG0006025 >XP_004601670.1
OG0006026 >XP_004616099.1
OG0006027 >XP_012788716.1
OG0006028 >XP_004617636.1
OG0006029 >XP_004612106.1
OG0006030 >XP_004620390.1
OG0006031 >XP_004600166.1
OG0006032 >XP_004612896.1
OG0006033 >XP_012790278.1
OG0006034 >XP_012789132.1
OG0006035 >XP_004602567.1
OG0006036 >XP_012788698.1
OG0006037 >XP_004601991.1
OG0006038 >XP_004612776.1
OG0006039 >XP_004610015.1
OG0006040 >XP_004618017.1
OG0006041 >XP_004610014.2
OG0006043 >XP_012789540.1
OG0006044 >XP_004609886.1
OG0006045 >XP_012791489.1
OG0006046 >XP_004610858.1
OG0006047 >XP_004617631.1
OG0006048 >XP_004616240.1
OG0006049 >XP_012790321.1
OG0006050 >XP_004609885.1
OG0006051 >XP_004602351.1
OG0006052 >XP_004612044.1
OG0006053 >XP_004612895.1
OG0006054 >XP_004601988.2
OG0006055 >XP_004600235.1
OG0006056 >XP_004609595.1
OG0006057 >XP_004612386.1
OG0006058 >XP_004602385.1
OG0006059 >XP_004601669.1
OG0006060 >XP_012788987.1
OG0006061 >XP_004602361.2
OG0006062 >XP_004612385.1
OG0006063 >XP_004600409.1
OG0006064 >XP_004609596.1
OG0006065 >XP_004617629.1
OG0006066 >XP_004616243.1
OG0006068 >XP_012791448.1
OG0006069 >XP_004602562.1
OG0006070 >XP_004618229.1
OG0006071 >XP_004601664.1
OG0006072 >XP_004611271.1
OG0006073 >XP_004601986.1
OG0006074 >XP_004610914.1
OG0006075 >XP_012789056.1
OG0006076 >XP_004609882.1
OG0006077 >XP_004613821.1
OG0006078 >XP_004610915.1
OG0006079 >XP_004613822.1
OG0006080 >XP_012790927.1
OG0006081 >XP_004602560.1
OG0006082 >XP_004612380.1
OG0006083 >XP_004610013.1
OG0006084 >XP_004618230.1
OG0006085 >XP_004620607.1
OG0006086 >XP_004602517.1
OG0006087 >XP_004602268.1
OG0006088 >XP_004602777.1
OG0006089 >XP_004604178.1
OG0006091 >XP_004619155.1
OG0006092 >XP_012789474.1
OG0006093 >XP_004600232.1
OG0006094 >XP_004617896.1
OG0006095 >XP_004619962.1
OG0006096 >XP_004615216.1
OG0006097 >XP_004615824.1
OG0006098 >XP_004602778.1
OG0006099 >XP_004602115.1
OG0006100 >XP_004618645.1
OG0006101 >XP_004601985.1
OG0006102 >XP_012789996.1
OG0006103 >XP_004618239.1
OG0006104 >XP_004609418.1
OG0006105 >XP_004608151.1
OG0006106 >XP_004615218.2
OG0006107 >XP_004600230.1
OG0006108 >XP_004616272.1
OG0006109 >XP_004619963.1
OG0006110 >XP_004604367.1
OG0006111 >XP_012790866.1
OG0006112 >XP_004618646.1
OG0006113 >XP_004601663.1
OG0006115 >XP_004600897.1
OG0006116 >XP_004619109.1
OG0006117 >XP_004609880.1
OG0006118 >XP_004604365.1
OG0006119 >XP_004608153.1
OG0006120 >XP_004604364.1
OG0006121 >XP_004618231.1
OG0006122 >XP_012789055.1
OG0006123 >XP_004609468.1
OG0006124 >XP_004608508.1
OG0006126 >XP_004601662.1
OG0006127 >XP_004603063.1
OG0006128 >XP_004608229.1
OG0006129 >XP_004605585.1
OG0006130 >XP_004619406.1
OG0006131 >XP_004600896.1
OG0006132 >XP_004603064.1
OG0006133 >XP_004601661.1
OG0006134 >XP_004618226.1
OG0006135 >XP_012790445.1
OG0006136 >XP_004602514.2
OG0006137 >XP_004602783.1
OG0006138 >XP_012789786.1
OG0006140 >XP_004617320.1
OG0006141 >XP_004617895.1
OG0006143 >XP_004602106.1
OG0006144 >XP_004611499.1
OG0006145 >XP_004602787.1
OG0006146 >XP_004618663.1
OG0006147 >XP_004604175.1
OG0006148 >XP_004603067.1
OG0006149 >XP_004600228.1
OG0006150 >XP_004619110.1
OG0006151 >XP_004602097.1
OG0006152 >XP_012789283.1
OG0006153 >XP_004602098.1
OG0006154 >XP_004600895.1
OG0006155 >XP_004620173.1
OG0006156 >XP_004611588.2
OG0006157 >XP_004617615.1
OG0006158 >XP_012789129.1
OG0006159 >XP_004602104.1
OG0006160 >XP_012790624.1
OG0006161 >XP_004608500.1
OG0006162 >XP_004621801.1
OG0006164 >XP_004621811.1
OG0006165 >XP_004620194.1
OG0006167 >XP_004616273.1
OG0006168 >XP_004602102.1
OG0006169 >XP_004618221.1
OG0006170 >XP_004619113.1
OG0006171 >XP_004619404.1
OG0006172 >XP_004617323.1
OG0006173 >XP_004620609.1
OG0006174 >XP_012789052.1
OG0006175 >XP_004619951.1
OG0006176 >XP_004618654.1
OG0006177 >XP_004600893.1
OG0006178 >XP_004602558.1
OG0006179 >XP_004607670.1
OG0006180 >XP_004605496.1
OG0006181 >XP_004602354.2
OG0006183 >XP_004615220.1
OG0006184 >XP_004610011.1
OG0006185 >XP_004603305.1
OG0006186 >XP_004608154.1
OG0006187 >XP_004604361.1
OG0006189 >XP_004602557.1
OG0006190 >XP_004615222.1
OG0006191 >XP_004600892.1
OG0006193 >XP_004604717.1
OG0006194 >XP_004620581.1
OG0006195 >XP_004619114.1
OG0006196 >XP_004605829.1
OG0006197 >XP_012787195.1
OG0006198 >XP_004607669.1
OG0006199 >XP_004602274.1
OG0006200 >XP_004604359.1
OG0006201 >XP_004608463.1
OG0006202 >XP_004601658.1
OG0006203 >XP_004621803.1
OG0006204 >XP_004619967.1
OG0006205 >XP_012790441.1
OG0006206 >XP_004605522.1
OG0006207 >XP_004617324.1
OG0006208 >XP_012787541.1
OG0006209 >XP_004603073.1
OG0006212 >XP_004608497.1
OG0006213 >XP_004618653.1
OG0006214 >XP_012790261.1
OG0006215 >XP_004600404.1
OG0006216 >XP_004607549.1
OG0006217 >XP_004609876.1
OG0006218 >XP_004611705.1
OG0006220 >XP_012790195.1
OG0006221 >XP_012788167.1
OG0006223 >XP_004618652.1
OG0006224 >XP_004603076.1
OG0006225 >XP_004601657.1
OG0006226 >XP_012791497.1
OG0006227 >XP_012790930.1
OG0006228 >XP_004612369.1
OG0006230 >XP_004608494.1
OG0006231 >XP_004604629.1
OG0006232 >XP_004607548.1
OG0006233 >XP_004621813.1
OG0006234 >XP_012789206.1
OG0006235 >XP_004616274.1
OG0006236 >XP_004613702.1
OG0006237 >XP_004619119.1
OG0006238 >XP_004620582.1
OG0006239 >XP_004618659.1
OG0006240 >XP_004617589.1
OG0006241 >XP_004604358.1
OG0006243 >XP_004619120.1
OG0006244 >XP_004609875.1
OG0006245 >XP_004609471.1
OG0006246 >XP_004608353.1
OG0006247 >XP_004603077.1
OG0006248 >XP_004601655.1
OG0006249 >XP_004610862.1
OG0006250 >XP_004616275.1
OG0006252 >XP_004613977.1
OG0006254 >XP_004617591.1
OG0006255 >XP_004605499.1
OG0006256 >XP_004613188.1
OG0006257 >XP_004612367.1
OG0006258 >XP_004622413.1
OG0006259 >XP_004611742.1
OG0006260 >XP_012790620.1
OG0006261 >XP_004612922.1
OG0006262 >XP_004615152.1
OG0006263 >XP_004600225.1
OG0006264 >XP_004601653.1
OG0006265 >XP_004610865.1
OG0006266 >XP_004613978.1
OG0006267 >XP_004601983.1
OG0006268 >XP_004617891.1
OG0006269 >XP_004602404.2
OG0006270 >XP_004619401.1
OG0006271 >XP_004613827.1
OG0006273 >XP_004604357.1
OG0006274 >XP_004621941.2
OG0006275 >XP_004610920.1
OG0006276 >XP_004608230.1
OG0006277 >XP_004603079.1
OG0006278 >XP_004604356.1
OG0006279 >XP_004609472.1
OG0006280 >XP_004612886.1
OG0006282 >XP_004613828.1
OG0006283 >XP_004620149.1
OG0006284 >XP_004612920.1
OG0006285 >XP_004608639.1
OG0006286 >XP_004620417.1
OG0006288 >XP_004608492.1
OG0006289 >XP_004605773.1
OG0006290 >XP_004608348.1
OG0006291 >XP_004612885.1
OG0006293 >XP_004609870.1
OG0006294 >XP_004608900.2
OG0006295 >XP_004619400.1
OG0006296 >XP_004601646.1
OG0006297 >XP_004605827.1
OG0006298 >XP_004604714.1
OG0006300 >XP_004612919.1
OG0006301 >XP_004618708.1
OG0006302 >XP_004613980.1
OG0006303 >XP_004601645.1
OG0006304 >XP_004604838.1
OG0006305 >XP_004608347.1
OG0006306 >XP_004610866.1
OG0006307 >XP_004615228.1
OG0006308 >XP_004603308.1
OG0006311 >XP_004618706.1
OG0006312 >XP_004600555.1
OG0006313 >XP_004609424.2
OG0006314 >XP_004619128.1
OG0006315 >XP_004600554.1
OG0006316 >XP_004613831.1
OG0006317 >XP_004606194.1
OG0006318 >XP_004617667.2
OG0006319 >XP_012791602.1
OG0006320 >XP_004608491.1
OG0006321 >XP_004608345.1
OG0006322 >XP_004622762.2
OG0006323 >XP_004605199.1
OG0006324 >XP_004602792.1
OG0006325 >XP_004619129.1
OG0006326 >XP_004608488.1
OG0006327 >XP_004608638.1
OG0006328 >XP_004605377.1
OG0006329 >XP_004620148.1
OG0006330 >XP_012787324.1
OG0006331 >XP_004605520.1
OG0006332 >XP_012787424.1
OG0006333 >XP_004620587.1
OG0006334 >XP_004612880.1
OG0006335 >XP_004605519.1
OG0006336 >XP_004615153.1
OG0006337 >XP_004610009.1
OG0006338 >XP_004605201.1
OG0006340 >XP_012790565.1
OG0006341 >XP_004613191.1
OG0006342 >XP_004604839.1
OG0006343 >XP_004608636.1
OG0006344 >XP_004620146.1
OG0006345 >XP_004604840.1
OG0006346 >XP_004608634.1
OG0006347 >XP_004610008.1
OG0006348 >XP_004605202.1
OG0006349 >XP_004601104.1
OG0006350 >XP_004602594.1
OG0006351 >XP_004610922.1
OG0006352 >XP_004620586.1
OG0006353 >XP_004602884.1
OG0006354 >XP_004602793.1
