target_id	length	eff_length	est_counts	tpm
ENSHGLT00100000006.1	958	859	35623.1	3895.38
ENSHGLT00100000010.1	1042	943	207714	20690.2
ENSHGLT00100000016.1	1542	1443	422551	27505.8
ENSHGLT00100000019.1	684	585	199037	31958.7
ENSHGLT00100000021.1	204	105	8255	7384.81
ENSHGLT00100000022.1	681	582	95777	15457.9
ENSHGLT00100000023.1	784	685	169014	23176.3
ENSHGLT00100000025.1	346	247	16121	6130.65
ENSHGLT00100000027.1	297	198	7291	3458.86
ENSHGLT00100000028.1	1378	1279	104081	7643.86
ENSHGLT00100000032.1	1812	1713	36928	2024.93
ENSHGLT00100000033.1	531	432	20160	4383.47
ENSHGLT00100000035.1	1135	1036	141821	12858.6
ENSHGLT00100000038.1	1407	1308	0	0
ENSHGLT00100000039.1	243	144	3	1.95691
ENSHGLT00100000040.1	1239	1140	510.999	42.1043
ENSHGLT00100000041.1	762	663	0	0
ENSHGLT00100000042.1	1500	1401	31.3947	2.10489
ENSHGLT00100000043.1	1539	1440	0	0
ENSHGLT00100000044.1	414	315	126.196	37.631
ENSHGLT00100000045.1	342	243	4053	1566.69
ENSHGLT00100000046.1	1515	1416	0	0
ENSHGLT00100000047.1	564	465	0	0
ENSHGLT00100000048.1	1876	1777	638	33.7245
ENSHGLT00100000049.1	3465	3366	0	0
ENSHGLT00100000050.1	3462	3363	413.583	11.5517
ENSHGLT00100000051.1	3453	3354	163.503	4.57905
ENSHGLT00100000052.1	3189	3090	574.649	17.4685
ENSHGLT00100000053.1	588	489	1	0.192089
ENSHGLT00100000054.1	1128	1029	146	13.3275
ENSHGLT00100000055.1	630	531	0	0
ENSHGLT00100000056.1	2439	2340	11.5845	0.46502
ENSHGLT00100000057.1	921	822	225	25.7112
ENSHGLT00100000058.1	2448	2349	243.274	9.72803
ENSHGLT00100000059.1	4852	4753	267.034	5.27728
ENSHGLT00100000060.1	1074	975	2.0266	0.195242
ENSHGLT00100000061.1	6364	6265	819.713	12.29
ENSHGLT00100000062.1	2928	2829	8.34187	0.276976
ENSHGLT00100000063.1	522	423	147	32.6429
ENSHGLT00100000064.1	597	498	15.8458	2.9888
ENSHGLT00100000065.1	276	177	2.02893	1.07673
ENSHGLT00100000066.1	2019	1920	2355	115.213
ENSHGLT00100000067.1	2916	2817	857.51	28.5933
ENSHGLT00100000068.1	1287	1188	0	0
ENSHGLT00100000069.1	3526	3427	967.474	26.5178
ENSHGLT00100000070.1	2424	2325	55.6106	2.24671
ENSHGLT00100000071.1	1302	1203	89.9337	7.02212
ENSHGLT00100000072.1	705	606	6.5095	1.00899
ENSHGLT00100000073.1	1065	966	13.6308	1.32542
ENSHGLT00100000074.1	3424	3325	1859	52.5169
ENSHGLT00100000075.1	846	747	977	122.853
ENSHGLT00100000076.1	1378	1279	6	0.440649
ENSHGLT00100000077.1	1779	1680	34.4622	1.92684
ENSHGLT00100000078.1	1584	1485	56.847	3.59578
ENSHGLT00100000079.1	1431	1332	2.69074	0.189749
ENSHGLT00100000080.1	1074	975	0	0
